gene_names	output_lfcs	ci_highs	ci_lows	output_pvalues	pertss	n_cells	experiment	gene_pert	scaled_to_per_exp_moi1	scaled_to_mean_exp_moi1	ci_high_scaled_to_per_exp_moi1	ci_low_scaled_to_per_exp_moi1	ci_high_to_mean_exp_moi1	ci_low_to_mean_exp_moi1	experiment_use
11	GATA1	-0.137234294068641	-0.062074190140642	-0.212394397996641	0.000883372478567545	e.GATA1.1	178	moi1_multi_moi	GATA1_e.GATA1.1	1	0.562027600098926	x	x	0.254217856765304	0.869837343432552	moi1_combined_reps
12	GATA1	-0.255429754674588	-0.160090469495296	-0.35076903985388	1.01718310225727e-07	e.GATA1.2	127	moi1_multi_moi	GATA1_e.GATA1.2	1	0.810405581970541	x	x	0.507921288436252	1.11288987550483	moi1_combined_reps
21	GATA1	-0.814011756915463	-0.745164145672369	-0.882859368158556	1.32531330904157e-141	GATA1.TSS.1	395	moi6_multi_moi	GATA1_GATA1.TSS.1	1.17542228854506	1.05372453572975	x	x	0.964602460308961	1.14284661115054	moi6_multi_moi
22	GATA1	-1.85773428656956	-1.7829692079136	-1.93249936522552	0	GATA1.TSS.2	604	moi6_multi_moi	GATA1_GATA1.TSS.2	1.33050649081784	1.42522004148171	x	x	1.36786162953131	1.4825784534321	moi6_multi_moi
23	GATA1	-0.295700267872248	-0.241281034615592	-0.350119501128905	6.97897866283729e-34	e.GATA1.1	399	moi6_multi_moi	GATA1_e.GATA1.1	2.15471118118877	1.21100715406984	x	x	0.988139311348519	1.43387499679117	moi6_multi_moi
24	GATA1	-0.308039252038721	-0.255875007833604	-0.360203496243839	8.12170764102777e-36	e.GATA1.2	432	moi6_multi_moi	GATA1_e.GATA1.2	1.20596463959791	0.977320475589235	x	x	0.811818242942307	1.14282270823617	moi6_multi_moi
25	GATA1	-0.766257562813856	-0.696879982400796	-0.835635143226917	1.24585870500937e-130	GATA1.TSS.1	394	moi9_multi_moi	GATA1_GATA1.TSS.1	1.10646585930228	0.991907534216727	x	x	0.902099422614234	1.08171564581922	moi9_multi_moi
26	GATA1	-1.77735648856099	-1.70483702636236	-1.84987595075962	0	GATA1.TSS.2	531	moi9_multi_moi	GATA1_GATA1.TSS.2	1.27294003325651	1.36355565307042	x	x	1.30792003732593	1.41919126881492	moi9_multi_moi
27	GATA1	-0.252794760866864	-0.192391723238903	-0.313197798494826	2.31107287706681e-20	e.GATA1.1	353	moi9_multi_moi	GATA1_e.GATA1.1	1.84206697445773	1.03529248087597	x	x	0.787918641070678	1.28266632068126	moi9_multi_moi
28	GATA1	-0.281352435394973	-0.230301176804	-0.332403693985947	6.54248027708711e-32	e.GATA1.2	396	moi9_multi_moi	GATA1_e.GATA1.2	1.10148653493173	0.892650836374061	x	x	0.730679788868443	1.05462188387968	moi9_multi_moi
29	GATA1	-0.670529367342152	-0.587142434720908	-0.753916299963396	1.09027039529989e-75	GATA1.TSS.1	339	moi14_multi_moi	GATA1_GATA1.TSS.1	0.968235602007204	0.86798899437659	x	x	0.760046011838841	0.97593197691434	moi14_multi_moi
30	GATA1	-1.63009619303752	-1.54810471402767	-1.71208767204737	0	GATA1.TSS.2	536	moi14_multi_moi	GATA1_GATA1.TSS.2	1.16747243196917	1.25058022595371	x	x	1.18767785075378	1.31348260115363	moi14_multi_moi
31	GATA1	-0.179831529212606	-0.114437470381326	-0.245225588043886	2.09335672398413e-14	e.GATA1.1	361	moi14_multi_moi	GATA1_e.GATA1.1	1.31039788875701	0.736479780592803	x	x	0.468665775390216	1.00429378579539	moi14_multi_moi
32	GATA1	-0.188010680047717	-0.124397576943331	-0.251623783152104	5.85023423683311e-16	e.GATA1.2	400	moi14_multi_moi	GATA1_e.GATA1.2	0.736056299655608	0.596504133885486	x	x	0.394677945280566	0.79833032249041	moi14_multi_moi
