gene	Chr	Start	End	Length	Reads	tpm	type	use
C6orf62	chr6	24704298	24720919	16622	4381	104.958	central_gene	yes
RBM4	chr11	66638616	66668379	29764	7792	104.252	locus_gene	yes
RBM14-RBM4	chr11	66616581	66646472	29892	7597	101.208	locus_gene	yes
XRCC5	chr2	216109347	216206292	96946	24364	100.079	central_gene	yes
RNASEH2C	chr11	65717672	65720797	3126	783	99.7467	locus_gene	yes
POU5F1	chr6	31164336	31170681	6346	1542	96.7632	control	yes
MMP24OS	chr20	35276351	35278121	1771	430	96.6887	central_gene	yes
TXNDC17	chr17	6641059	6644540	3482	841	96.1819	locus_gene	yes
KIFC2	chr8	144466245	144474201	7957	1895	94.8387	central_gene	yes
SPSB2	chr12	6870934	6873302	2369	560	94.1345	locus_gene	yes
ZNF593	chr1	26169907	26170872	966	226	93.1659	central_gene	yes
RBM4B	chr11	66664997	66677886	12890	2956	91.3224	central_gene	yes
SLC2A3	chr12	7919229	7936186	16958	3834	90.0333	locus_gene	yes
TAF11	chr6	34877461	34888070	10610	2392	89.7784	locus_gene	yes
PEX10	chr1	2404801	2412573	7773	1699	87.0424	locus_gene	yes
PPAN	chr19	10106222	10112011	5790	1222	84.0463	locus_gene	yes
SLC29A2	chr11	66362520	66372475	9956	2048	81.9164	locus_gene	yes
TRIM27	chr6	28903001	28923984	20984	4266	80.9578	central_gene	yes
LRRC24	chr8	144522387	144527032	4646	914	78.3417	locus_gene	yes
CDC37	chr19	10391127	10403567	12441	2401	76.8533	central_gene	yes
C19orf53	chr19	13774455	13778772	4318	831	76.638	locus_gene	yes
RBMXL1	chr1	88979455	88992959	13505	2577	75.9881	locus_gene	yes
FAM136A	chr2	70295975	70302066	6092	1156	75.5655	central_gene	yes
RBM14	chr11	66616629	66629933	13305	2476	74.1074	locus_gene	yes
SNRPG	chr2	70281361	70293770	12410	2307	74.029	locus_gene	yes
HNRNPM	chr19	8444574	8489113	44540	8157	72.93	locus_gene	yes
GABARAP	chr17	7240007	7242448	2442	443	72.241	locus_gene	yes
DDX55	chr12	123602088	123620942	18855	3409	71.999	central_gene	yes
EIF3G	chr19	10115013	10119898	4886	879	71.6409	locus_gene	yes
ESF1	chr20	13714321	13784932	70612	12066	68.0473	locus_gene	yes
DRAP1	chr11	65919425	65921562	2138	362	67.4259	locus_gene	yes
PPAN-P2RY11	chr19	10106361	10115371	9011	1518	67.0849	locus_gene	yes
EIF5A	chr17	7306998	7312462	5465	899	65.5082	locus_gene	yes
LIN28A	chr1	26410777	26429727	18951	3045	63.9854	locus_gene	yes
RER1	chr1	2391840	2405435	13596	2095	61.3619	central_gene	yes
ENO2	chr12	6914579	6923696	9118	1397	61.013	locus_gene	yes
CTNND1	chr11	57761801	57819539	57739	8657	59.7068	locus_gene	yes
SRPK1	chr6	35832965	35921179	88215	13199	59.5833	central_gene	yes
ZNF414	chr19	8509677	8514166	4490	668	59.2456	locus_gene	yes
PIMREG	chr17	6444454	6451468	7015	1012	57.4485	locus_gene	yes
PYCARD	chr16	31201485	31202775	1291	186	57.3737	locus_gene	yes
TMEM107	chr17	8172456	8176379	3924	562	57.0339	central_gene	yes
ZNF326	chr1	89995094	90035532	40439	5768	56.8003	locus_gene	yes
TMX2-CTNND1	chr11	57712522	57819179	106658	14899	55.6275	locus_gene	yes
BTBD3	chr20	11890722	11926594	35873	4935	54.7829	central_gene	yes
YME1L1	chr10	27110110	27155050	44941	6128	54.3003	central_gene	yes
ZNF251	chr8	144720908	144755602	34695	4721	54.1867	locus_gene	yes
TRNP1	chr1	26993662	27000890	7229	980	53.9851	locus_gene	yes
SERF1A	chr5	70900662	70918529	17868	2395	53.3772	central_gene	yes
IGFBP2	chr2	216632827	216664435	31609	4204	52.9636	locus_gene	yes
SAMD1	chr19	14087850	14090750	2901	384	52.712	locus_gene	yes
PKN2	chr1	88684143	88836254	152112	20076	52.5581	central_gene	yes
NANOG	chr12	7789401	7799145	9745	1271	51.9385	control	yes
FJX1	chr11	35618459	35620864	2406	313	51.8054	central_gene	yes
DPM1	chr20	50934854	50958563	23710	3063	51.4448	locus_gene	yes
SULT1A3	chr16	30199227	30204328	5102	655	51.1242	central_gene	yes
TRAPPC1	chr17	7930344	7931998	1655	212	51.011	locus_gene	yes
NDUFB7	chr19	14566077	14572065	5989	766	50.9331	locus_gene	yes
MRPL11	chr11	66435074	66438859	3786	482	50.6982	locus_gene	yes
ZFP91	chr11	58579062	58621549	42488	5376	50.387	locus_gene	yes
TNPO1	chr5	72816590	72916740	100151	12618	50.172	locus_gene	yes
FDX2	chr19	10310044	10316014	5971	748	49.8862	locus_gene	yes
MED31	chr17	6643310	6651604	8295	1031	49.4958	locus_gene	yes
SEPHS2	chr16	30443630	30445873	2244	278	49.3342	locus_gene	yes
ELP5	chr17	7251736	7259939	8204	1007	48.8798	locus_gene	yes
SF3B2	chr11	66052360	66069307	16948	2077	48.8027	locus_gene	yes
MRPL19	chr2	75646782	75662205	15424	1890	48.7967	locus_gene	yes
WBP1	chr2	74458437	74460880	2444	299	48.7187	locus_gene	yes
SAC3D1	chr11	65040932	65044827	3896	467	47.7336	locus_gene	yes
ZNHIT2	chr11	65116402	65117700	1299	154	47.2104	locus_gene	yes
ZFP91-CNTF	chr11	58579113	58625732	46620	5490	46.8949	locus_gene	yes
KAT5	chr11	65712017	65719603	7587	880	46.189	locus_gene	yes
TMEM88	chr17	7854885	7856098	1214	140	45.9235	locus_gene	yes
ZKSCAN8	chr6	28141642	28159471	17830	2053	45.8526	locus_gene	yes
TP53	chr17	7668401	7687549	19149	2177	45.2729	locus_gene	yes
CEBPB	chr20	50190582	50192689	2108	230	43.4493	locus_gene	yes
B4GAT1	chr11	66345373	66347628	2256	246	43.4232	locus_gene	yes
PARD6B	chr20	50731579	50753740	22162	2371	42.6038	locus_gene	yes
FAM111A	chr11	59142745	59155038	12294	1276	41.3317	locus_gene	yes
TDP2	chr6	24649978	24666898	16921	1744	41.0437	locus_gene	yes
TENT5B	chr1	27005019	27012849	7831	803	40.8342	locus_gene	yes
LRRC14	chr8	144517964	144525171	7208	736	40.662	locus_gene	yes
ZSCAN9	chr6	28224701	28233486	8786	897	40.6562	locus_gene	yes
UBE2V1	chr20	50081123	50115956	34834	3484	39.8291	locus_gene	yes
FIBP	chr11	65883739	65888509	4771	474	39.5635	locus_gene	yes
MRS2	chr6	24402907	24426193	23287	2285	39.075	locus_gene	yes
RIMKLB	chr12	8681599	8783094	101496	9914	38.8979	locus_gene	yes
KAT8	chr16	31117663	31131392	13730	1308	37.937	locus_gene	yes
GCFC2	chr2	75655605	75711641	56037	5329	37.8701	locus_gene	yes
ATP6V0A2	chr12	123712352	123761754	49403	4571	36.8454	locus_gene	yes
ARID1A	chr1	26696014	26782103	86090	7951	36.7786	locus_gene	yes
P2RY11	chr19	10111692	10115371	3680	337	36.4677	locus_gene	yes
EMG1	chr12	6970912	6997427	26516	2414	36.2539	locus_gene	yes
POLR2A	chr17	7484365	7514615	30251	2745	36.135	locus_gene	yes
SENP3	chr17	7561918	7571968	10051	908	35.9751	locus_gene	yes
KYAT3	chr1	88921043	88992959	71917	6441	35.6654	locus_gene	yes
PLSCR3	chr17	7389726	7394524	4799	428	35.5156	locus_gene	yes
SNX32	chr11	65833639	65855168	21530	1900	35.1427	locus_gene	yes
ZSCAN23	chr6	28425515	28443553	18039	1585	34.9899	locus_gene	yes
SMN1	chr5	70924940	70953014	28075	2466	34.9783	locus_gene	yes
PRSS8	chr16	31131432	31135726	4295	376	34.8619	locus_gene	yes
VPS51	chr11	65096213	65111861	15649	1367	34.7863	locus_gene	yes
MRPS27	chr5	72219402	72320239	100838	8790	34.7129	locus_gene	yes
RTKN	chr2	74425834	74441936	16103	1403	34.6958	locus_gene	yes
MRPL4	chr19	10251961	10260054	8094	704	34.6366	locus_gene	yes
SNRPC	chr6	34757093	34773856	16764	1437	34.1354	locus_gene	yes
NLGN2	chr17	7405491	7419859	14369	1228	34.0328	locus_gene	yes
LRRC8D	chr1	89821013	89936610	115598	9833	33.8736	locus_gene	yes
BDP1	chr5	71455635	71578287	122653	10415	33.8148	locus_gene	yes
SMPDL3B	chr1	27934954	27959151	24198	2033	33.4568	locus_gene	yes
LRRC8B	chr1	89522625	89597860	75236	6298	33.3352	locus_gene	yes
CEP85	chr1	26234178	26278807	44630	3730	33.2819	locus_gene	yes
ZNF785	chr16	30572938	30586037	13100	1094	33.2561	locus_gene	yes
MAP1B	chr5	72107474	72209564	102091	8454	32.9762	locus_gene	yes
RPS10-NUDT3	chr6	34287193	34426124	138932	11504	32.9741	locus_gene	yes
SNRNP27	chr2	69893955	69905235	11281	926	32.6881	locus_gene	yes
TECR	chr19	14527751	14565979	38229	3116	32.4586	locus_gene	yes
FBXL12	chr19	9810266	9820527	10262	833	32.325	locus_gene	yes
MRI1	chr19	13764491	13774281	9791	790	32.1311	locus_gene	yes
PHKG2	chr16	30748298	30761175	12878	1028	31.7885	locus_gene	yes
RPA2	chr1	27891523	27914796	23274	1850	31.6539	locus_gene	yes
HTRA2	chr2	74529404	74533555	4152	330	31.6506	locus_gene	yes
RNF114	chr20	49936396	49953884	17489	1385	31.5363	locus_gene	yes
GMCL1	chr2	69829659	69881388	51730	4056	31.2235	locus_gene	yes
ASF1B	chr19	14119511	14136588	17078	1306	30.4531	locus_gene	yes
LPCAT3	chr12	6976184	7018507	42324	3208	30.1838	locus_gene	yes
GSK3B	chr3	119821320	120095822	274503	20712	30.047	control	yes
ROCK1	chr18	20946905	21111812	164908	8615	20.8036	control	yes
BAG3	chr10	119651369	119677818	26450	321	4.83287	control	yes
KCNH2	chr7	150944955	150978320	33366	71	0.847384	control	yes
MESP1	chr15	89734771	89751308	16538	20	0.481585	control	yes
MYBPC3	chr11	47331405	47352701	21297	12	0.224382	control	yes
