elem_key,chr,start,end,n_pairs,n_sig,any_sig,any_sig_neg,any_sig_pos,sig_genes,all_genes,element_category,max_power15,min_sig_log2FC,min_dist_tss,min_sig_dist_tss,cell,set
chr17:47113688-47114543,chr17,47113688,47114543,20,1,True,False,True,MRPL10,"ATP5MC1,CALCOCO2,CBX1,HOXB2,HOXB4,HOXB7,HOXB9,IGF2BP1,MRPL10,SNF8",H3K27ac,0.59,0.141670045,717248,717248.0,K562,pos_pos
chr17:47742569-47743068,chr17,47742569,47743068,13,1,True,False,True,HOXB4,"ATP5MC1,CALCOCO2,CBX1,HOXB2,HOXB4,HOXB7,HOXB9,IGF2BP1,MRPL10,PHB,SLC35B1,SNF8,SPOP",H3K27ac,0.89,0.15613432,88723,835528.0,K562,pos_pos
chr18:12408430-12408929,chr18,12408430,12408929,7,1,True,False,True,RNMT,"AFG3L2,FAM210A,PSMG2,PTPN2,RNMT,SEH1L,TUBB6",H3K27ac,0.78,0.784296969,31365,1317981.0,K562,pos_pos
chr19:10092112-10092611,chr19,10092112,10092611,11,1,True,False,True,DNM2,"DNM2,DNMT1,EIF3G,HNRNPM,ICAM3,ICAM4,MRPL4,PIN1,PPAN,RAB11B,UBL5",H3K27ac,0.97,0.118665825,14001,625718.0,K562,pos_pos
chr19:10291158-10291657,chr19,10291158,10291657,11,1,True,False,True,ICAM4,"DNM2,DNMT1,EIF3G,HNRNPM,ICAM3,ICAM4,MRPL4,PIN1,PPAN,RAB11B,UBL5",High H3K27ac,0.98,0.267148171,4452,4452.0,K562,pos_pos
chr19:38932722-38933221,chr19,38932722,38933221,7,1,True,False,True,PPP1R14A,"ACTN4,ECH1,EIF3K,PPP1R14A,PSMD8,RPS16,YIF1B",H3K27ac,0.96,0.08410481,101130,676439.0,K562,pos_pos
chr19:8455995-8456494,chr19,8455995,8456494,9,1,True,False,True,DNMT1,"DNMT1,EIF3G,ICAM3,ICAM4,MRPL4,PIN1,PPAN,RAB11B,UBL5",CTCF element,0.96,0.096806233,66263,1820834.0,K562,pos_pos
chr1:152458336-152458835,chr1,152458336,152458835,9,1,True,False,True,RAB13,"CHTOP,ILF2,JTB,RAB13,S100A13,S100A6,SLC39A1,SNAPIN,TPM3",CTCF element,0.9,0.10117541,1077659,1527773.0,K562,pos_pos
chr1:154159481-154159980,chr1,154159481,154159980,9,1,True,False,True,KHDC4,"CHTOP,ILF2,JTB,KHDC4,RAB13,S100A13,S100A6,SLC39A1,SNAPIN",H3K27ac,0.9,0.20516134,173372,1771998.0,K562,pos_pos
chr20:19947796-19948295,chr20,19947796,19948295,3,1,True,False,True,DTD1,"DTD1,NAA20,SMIM26",No H3K27ac,0.94,0.122035286,69265,1360152.0,K562,pos_pos
chr21:45150818-45151317,chr21,45150818,45151317,8,1,True,False,True,SUMO3,"CSTB,GATD3A,PDXK,PTTG1IP,RRP1,RRP1B,SUMO3,UBE2G2",No H3K27ac,0.93,0.083810406,277164,332288.0,K562,pos_pos
chr21:45386832-45387331,chr21,45386832,45387331,8,1,True,False,True,PTTG1IP,"CSTB,GATD3A,PDXK,PTTG1IP,RRP1,RRP1B,SUMO3,UBE2G2",CTCF element,0.97,0.127868703,513178,513178.0,K562,pos_pos
chr2:85951580-85952079,chr2,85951580,85952079,11,1,True,False,True,CAPG,"CAPG,IMMT,KCMF1,MAT2A,MRPL35,PTCD3,RNF181,TMEM150A,TMSB10,USP39,VAMP8",H3K27ac,0.89,0.183126369,154394,533397.0,K562,pos_pos
chr3:49327421-49327920,chr3,49327421,49327920,14,2,True,False,True,"QARS,SHISA5","ARIH2,IFRD2,IMPDH2,IP6K2,KLHDC8B,NDUFAF3,PRKAR2A,QARS,RBM6,RHOA,SHISA5,TMA7,TUSC2,UQCRC1",No H3K27ac,0.94,0.09872941,85328,222540.0,K562,pos_pos
chr3:50226863-50228277,chr3,50226863,50228277,42,2,True,False,True,"IMPDH2,IP6K2","ARIH2,IFRD2,IMPDH2,IP6K2,KLHDC8B,NDUFAF3,PRKAR2A,QARS,RBM6,RHOA,SHISA5,TMA7,TUSC2,UQCRC1",High H3K27ac,0.98,0.063391605,64890,1198618.0,K562,pos_pos
chr7:100545673-100546172,chr7,100545673,100546172,12,1,True,False,True,POP7,"AP1S1,CUX1,FIS1,GNB2,MOSPD3,POLR2J,POP7,PRKRIP1,SRRT,TFR2,TRIP6,ZNHIT1",H3K27ac,0.91,0.073319396,66180,160199.0,K562,pos_pos
chr7:101882824-101883323,chr7,101882824,101883323,12,1,True,False,True,POLR2J,"AP1S1,FIS1,GNB2,MOSPD3,POLR2J,POLR2J3,POP7,PRKRIP1,SRRT,TFR2,TRIP6,ZNHIT1",High H3K27ac,0.91,0.049598379,477966,593001.0,K562,pos_pos
chr8:144375514-144376013,chr8,144375514,144376013,18,1,True,False,True,TSTA3,"C8orf82,COMMD5,CYC1,CYHR1,EEF1D,EXOSC4,GPAA1,GRINA,HSF1,LY6E,MAF1,PUF60,SHARPIN,SLC39A4,SLC52A2,TOP1MT,TSTA3,VPS28",H3K27ac,0.94,0.11232858,21657,899234.0,K562,pos_pos
chr8:145001766-145002265,chr8,145001766,145002265,17,1,True,False,True,HSF1,"C8orf82,COMMD5,CYC1,CYHR1,EEF1D,EXOSC4,GPAA1,GRINA,HSF1,MAF1,PUF60,SHARPIN,SLC39A4,SLC52A2,TOP1MT,TSTA3,VPS28",H3K27ac,0.95,0.120820431,148280,712128.0,K562,pos_pos
chr11:65315493-65315992,chr11,65315493,65315992,15,0,False,False,False,,"BANF1,BRMS1,CCDC85B,CFL1,DRAP1,FAM89B,FIBP,MRPL11,RAB1B,RBM14,RNASEH2C,SCYL1,SF3B2,YIF1A,ZNRD2",H3K27ac,0.98,,209335,,K562,bg_powered
chr11:65416272-65416771,chr11,65416272,65416771,16,0,False,False,False,,"BANF1,BRMS1,CCDC85B,CFL1,DRAP1,FAM89B,FIBP,MRPL11,POLD4,RAB1B,RBM14,RNASEH2C,SCYL1,SF3B2,YIF1A,ZNRD2",H3K27ac,0.96,,108556,,K562,bg_powered
chr11:65425837-65426336,chr11,65425837,65426336,17,0,False,False,False,,"BANF1,BRMS1,CCDC85B,CFL1,DRAP1,FAM89B,FIBP,MRPL11,POLD4,PPP1CA,RAB1B,RBM14,RNASEH2C,SCYL1,SF3B2,YIF1A,ZNRD2",High H3K27ac,0.81,,98991,,K562,bg_powered
chr11:65471985-65472484,chr11,65471985,65472484,20,0,False,False,False,,"BANF1,BRMS1,CCDC85B,CFL1,CORO1B,DRAP1,FAM89B,FIBP,MRPL11,POLD4,PPP1CA,RAB1B,RBM14,RNASEH2C,RPS6KB2,SCYL1,SF3B2,TMEM134,YIF1A,ZNRD2",High H3K27ac,0.94,,52843,,K562,bg_powered
chr11:65941334-65941833,chr11,65941334,65941833,22,0,False,False,False,,"AIP,BANF1,BRMS1,CCDC85B,CDK2AP2,CFL1,CORO1B,DRAP1,FAM89B,FIBP,MRPL11,POLD4,PPP1CA,RAB1B,RBM14,RNASEH2C,RPS6KB2,SCYL1,SF3B2,TMEM134,YIF1A,ZNRD2",H3K27ac,0.96,,22309,,K562,bg_powered
chr11:66050483-66050982,chr11,66050483,66050982,21,0,False,False,False,,"AIP,BANF1,BRMS1,CCDC85B,CDK2AP2,CFL1,CORO1B,DRAP1,FAM89B,FIBP,MRPL11,POLD4,PPP1CA,RAB1B,RBM14,RNASEH2C,RPS6KB2,SCYL1,TMEM134,YIF1A,ZNRD2",H3K27ac,0.94,,48504,,K562,bg_powered
chr11:66080391-66080890,chr11,66080391,66080890,22,0,False,False,False,,"AIP,BANF1,BRMS1,CCDC85B,CDK2AP2,CFL1,CORO1B,DRAP1,FAM89B,FIBP,MRPL11,POLD4,PPP1CA,RAB1B,RBM14,RNASEH2C,RPS6KB2,SCYL1,SF3B2,TMEM134,YIF1A,ZNRD2",H3K27ac,0.87,,29911,,K562,bg_powered
chr11:66113088-66113587,chr11,66113088,66113587,22,0,False,False,False,,"AIP,BANF1,BRMS1,CCDC85B,CDK2AP2,CFL1,CORO1B,DRAP1,FAM89B,FIBP,MRPL11,POLD4,PPP1CA,RAB1B,RBM14,RNASEH2C,RPS6KB2,SCYL1,SF3B2,TMEM134,YIF1A,ZNRD2",No H3K27ac,0.91,,62608,,K562,bg_powered
chr11:66134472-66134971,chr11,66134472,66134971,22,0,False,False,False,,"AIP,BANF1,BRMS1,CCDC85B,CDK2AP2,CFL1,CORO1B,DRAP1,FAM89B,FIBP,MRPL11,POLD4,PPP1CA,RAB1B,RBM14,RNASEH2C,RPS6KB2,SCYL1,SF3B2,TMEM134,YIF1A,ZNRD2",CTCF element,0.96,,83992,,K562,bg_powered
chr11:66188509-66189008,chr11,66188509,66189008,22,0,False,False,False,,"AIP,BANF1,BRMS1,CCDC85B,CDK2AP2,CFL1,CORO1B,DRAP1,FAM89B,FIBP,MRPL11,POLD4,PPP1CA,RAB1B,RBM14,RNASEH2C,RPS6KB2,SCYL1,SF3B2,TMEM134,YIF1A,ZNRD2",H3K27ac,0.93,,79832,,K562,bg_powered
chr11:66222656-66223155,chr11,66222656,66223155,22,0,False,False,False,,"AIP,BANF1,BRMS1,CCDC85B,CDK2AP2,CFL1,CORO1B,DRAP1,FAM89B,FIBP,MRPL11,POLD4,PPP1CA,RAB1B,RBM14,RNASEH2C,RPS6KB2,SCYL1,SF3B2,TMEM134,YIF1A,ZNRD2",H3K27ac,0.91,,45685,,K562,bg_powered
chr11:66834183-66834682,chr11,66834183,66834682,22,0,False,False,False,,"AIP,BANF1,BRMS1,CCDC85B,CDK2AP2,CFL1,CORO1B,DRAP1,FAM89B,FIBP,MRPL11,POLD4,PPP1CA,RAB1B,RBM14,RNASEH2C,RPS6KB2,SCYL1,SF3B2,TMEM134,YIF1A,ZNRD2",H3K27ac,0.89,,217850,,K562,bg_powered
chr11:66886027-66886526,chr11,66886027,66886526,22,0,False,False,False,,"AIP,BANF1,BRMS1,CCDC85B,CDK2AP2,CFL1,CORO1B,DRAP1,FAM89B,FIBP,MRPL11,POLD4,PPP1CA,RAB1B,RBM14,RNASEH2C,RPS6KB2,SCYL1,SF3B2,TMEM134,YIF1A,ZNRD2",H3K27ac,0.93,,269694,,K562,bg_powered
chr11:66934800-66935728,chr11,66934800,66935728,44,0,False,False,False,,"AIP,BANF1,BRMS1,CCDC85B,CDK2AP2,CFL1,CORO1B,DRAP1,FAM89B,FIBP,MRPL11,POLD4,PPP1CA,RAB1B,RBM14,RNASEH2C,RPS6KB2,SCYL1,SF3B2,TMEM134,YIF1A,ZNRD2",High H3K27ac,0.96,,318467,,K562,bg_powered
chr11:67262622-67263121,chr11,67262622,67263121,22,0,False,False,False,,"AIP,BANF1,BRMS1,CCDC85B,CDK2AP2,CFL1,CORO1B,DRAP1,FAM89B,FIBP,MRPL11,POLD4,PPP1CA,RAB1B,RBM14,RNASEH2C,RPS6KB2,SCYL1,SF3B2,TMEM134,YIF1A,ZNRD2",H3K27ac,0.96,,94101,,K562,bg_powered
chr14:56219942-56220441,chr14,56219942,56220441,4,0,False,False,False,,"CDKN3,CNIH1,KTN1,MAPK1IP1L",High H3K27ac,0.85,,661119,,K562,bg_powered
chr16:1342791-1343290,chr16,1342791,1343290,27,0,False,False,False,,"ANTKMT,C16orf91,ECI1,GFER,HAGH,HAGHL,HBA2,HBQ1,JPT2,MEIOB,METRN,MRPL28,MRPS34,MSRB1,NDUFB10,NME3,NME4,NTHL1,NUBP2,RHOT2,RPUSD1,SLC9A3R2,STUB1,SYNGR3,TRAF7,TSR3,UBE2I",No H3K27ac,0.93,,8838,,K562,bg_powered
chr16:1413588-1414087,chr16,1413588,1414087,27,0,False,False,False,,"ANTKMT,C16orf91,ECI1,GFER,HAGH,HAGHL,HBA2,HBQ1,JPT2,MEIOB,METRN,MRPL28,MRPS34,MSRB1,NDUFB10,NME3,NME4,NTHL1,NUBP2,RHOT2,RPUSD1,SLC9A3R2,STUB1,SYNGR3,TRAF7,TSR3,UBE2I",H3K27ac,0.91,,6919,,K562,bg_powered
chr16:1704597-1705096,chr16,1704597,1705096,27,0,False,False,False,,"ANTKMT,C16orf91,ECI1,GFER,HAGH,HAGHL,HBA2,HBQ1,JPT2,MEIOB,METRN,MRPL28,MRPS34,MSRB1,NDUFB10,NME3,NME4,NTHL1,NUBP2,RHOT2,RPUSD1,SLC9A3R2,STUB1,SYNGR3,TRAF7,TSR3,UBE2I",H3K27ac,0.87,,26590,,K562,bg_powered
chr16:1707305-1707804,chr16,1707305,1707804,27,0,False,False,False,,"ANTKMT,C16orf91,ECI1,GFER,HAGH,HAGHL,HBA2,HBQ1,JPT2,MEIOB,METRN,MRPL28,MRPS34,MSRB1,NDUFB10,NME3,NME4,NTHL1,NUBP2,RHOT2,RPUSD1,SLC9A3R2,STUB1,SYNGR3,TRAF7,TSR3,UBE2I",H3K27ac,0.96,,29298,,K562,bg_powered
chr16:1944520-1945019,chr16,1944520,1945019,27,0,False,False,False,,"ANTKMT,C16orf91,ECI1,GFER,HAGH,HAGHL,HBA2,HBQ1,JPT2,MEIOB,METRN,MRPL28,MRPS34,MSRB1,NDUFB10,NME3,NME4,NTHL1,NUBP2,RHOT2,RPUSD1,SLC9A3R2,STUB1,SYNGR3,TRAF7,TSR3,UBE2I",No H3K27ac,0.95,,1443,,K562,bg_powered
chr16:2156484-2156983,chr16,2156484,2156983,26,0,False,False,False,,"ANTKMT,C16orf91,ECI1,GFER,HAGH,HAGHL,HBA2,HBQ1,JPT2,MEIOB,METRN,MRPL28,MRPS34,MSRB1,NDUFB10,NME3,NME4,NTHL1,NUBP2,RHOT2,RPUSD1,SLC9A3R2,STUB1,SYNGR3,TSR3,UBE2I",High H3K27ac,0.98,,95567,,K562,bg_powered
chr16:2187181-2187680,chr16,2187181,2187680,25,0,False,False,False,,"ANTKMT,C16orf91,ECI1,GFER,HAGH,HAGHL,JPT2,MEIOB,METRN,MRPL28,MRPS34,MSRB1,NDUFB10,NME3,NME4,NTHL1,NUBP2,RHOT2,RPUSD1,SLC9A3R2,STUB1,SYNGR3,TRAF7,TSR3,UBE2I",H3K27ac,0.93,,31732,,K562,bg_powered
chr16:331877-332376,chr16,331877,332376,27,0,False,False,False,,"ANTKMT,C16orf91,ECI1,GFER,HAGH,HAGHL,HBA2,HBQ1,JPT2,MEIOB,METRN,MRPL28,MRPS34,MSRB1,NDUFB10,NME3,NME4,NTHL1,NUBP2,RHOT2,RPUSD1,SLC9A3R2,STUB1,SYNGR3,TRAF7,TSR3,UBE2I",No H3K27ac,0.9,,39163,,K562,bg_powered
chr16:392543-393042,chr16,392543,393042,27,0,False,False,False,,"ANTKMT,C16orf91,ECI1,GFER,HAGH,HAGHL,HBA2,HBQ1,JPT2,MEIOB,METRN,MRPL28,MRPS34,MSRB1,NDUFB10,NME3,NME4,NTHL1,NUBP2,RHOT2,RPUSD1,SLC9A3R2,STUB1,SYNGR3,TRAF7,TSR3,UBE2I",No H3K27ac,0.98,,3933,,K562,bg_powered
chr16:405674-406173,chr16,405674,406173,26,0,False,False,False,,"ANTKMT,C16orf91,ECI1,GFER,HAGH,HAGHL,HBA2,HBQ1,JPT2,MEIOB,METRN,MRPL28,MRPS34,MSRB1,NDUFB10,NME3,NTHL1,NUBP2,RHOT2,RPUSD1,SLC9A3R2,STUB1,SYNGR3,TRAF7,TSR3,UBE2I",H3K27ac,0.98,,34634,,K562,bg_powered
chr16:468026-468525,chr16,468026,468525,27,0,False,False,False,,"ANTKMT,C16orf91,ECI1,GFER,HAGH,HAGHL,HBA2,HBQ1,JPT2,MEIOB,METRN,MRPL28,MRPS34,MSRB1,NDUFB10,NME3,NME4,NTHL1,NUBP2,RHOT2,RPUSD1,SLC9A3R2,STUB1,SYNGR3,TRAF7,TSR3,UBE2I",No H3K27ac,0.92,,71550,,K562,bg_powered
chr16:483643-484142,chr16,483643,484142,27,0,False,False,False,,"ANTKMT,C16orf91,ECI1,GFER,HAGH,HAGHL,HBA2,HBQ1,JPT2,MEIOB,METRN,MRPL28,MRPS34,MSRB1,NDUFB10,NME3,NME4,NTHL1,NUBP2,RHOT2,RPUSD1,SLC9A3R2,STUB1,SYNGR3,TRAF7,TSR3,UBE2I",No H3K27ac,0.93,,87167,,K562,bg_powered
chr16:701640-702139,chr16,701640,702139,27,0,False,False,False,,"ANTKMT,C16orf91,ECI1,GFER,HAGH,HAGHL,HBA2,HBQ1,JPT2,MEIOB,METRN,MRPL28,MRPS34,MSRB1,NDUFB10,NME3,NME4,NTHL1,NUBP2,RHOT2,RPUSD1,SLC9A3R2,STUB1,SYNGR3,TRAF7,TSR3,UBE2I",H3K27me3 element,0.97,,13229,,K562,bg_powered
chr16:709488-709987,chr16,709488,709987,27,0,False,False,False,,"ANTKMT,C16orf91,ECI1,GFER,HAGH,HAGHL,HBA2,HBQ1,JPT2,MEIOB,METRN,MRPL28,MRPS34,MSRB1,NDUFB10,NME3,NME4,NTHL1,NUBP2,RHOT2,RPUSD1,SLC9A3R2,STUB1,SYNGR3,TRAF7,TSR3,UBE2I",No H3K27ac,0.95,,5381,,K562,bg_powered
chr16:712779-713278,chr16,712779,713278,27,0,False,False,False,,"ANTKMT,C16orf91,ECI1,GFER,HAGH,HAGHL,HBA2,HBQ1,JPT2,MEIOB,METRN,MRPL28,MRPS34,MSRB1,NDUFB10,NME3,NME4,NTHL1,NUBP2,RHOT2,RPUSD1,SLC9A3R2,STUB1,SYNGR3,TRAF7,TSR3,UBE2I",CTCF element,0.89,,2090,,K562,bg_powered
chr16:87570988-87571487,chr16,87570988,87571487,10,0,False,False,False,,"ANKRD11,APRT,CDT1,CTU2,CYBA,MVD,PIEZO1,RNF166,TRAPPC2L,ZC3H18",CTCF element,0.91,,1031946,,K562,bg_powered
chr16:87721563-87722062,chr16,87721563,87722062,10,0,False,False,False,,"ANKRD11,APRT,CDT1,CTU2,CYBA,MVD,PIEZO1,RNF166,TRAPPC2L,ZC3H18",High H3K27ac,0.94,,881371,,K562,bg_powered
chr16:87806085-87806584,chr16,87806085,87806584,10,0,False,False,False,,"ANKRD11,APRT,CDT1,CTU2,CYBA,MVD,PIEZO1,RNF166,TRAPPC2L,ZC3H18",H3K27ac,0.86,,796849,,K562,bg_powered
chr16:87834526-87835025,chr16,87834526,87835025,10,0,False,False,False,,"ANKRD11,APRT,CDT1,CTU2,CYBA,MVD,PIEZO1,RNF166,TRAPPC2L,ZC3H18",No H3K27ac,0.97,,768408,,K562,bg_powered
chr16:87867003-87867502,chr16,87867003,87867502,10,0,False,False,False,,"ANKRD11,APRT,CDT1,CTU2,CYBA,MVD,PIEZO1,RNF166,TRAPPC2L,ZC3H18",H3K27ac,0.97,,735931,,K562,bg_powered
chr16:87868083-87868582,chr16,87868083,87868582,10,0,False,False,False,,"ANKRD11,APRT,CDT1,CTU2,CYBA,MVD,PIEZO1,RNF166,TRAPPC2L,ZC3H18",H3K27ac,0.89,,734851,,K562,bg_powered
