chrom	chromStart	chromEnd	name	hg19_target_coords	EffectSize	chrTSS	startTSS	endTSS	measuredGeneSymbol	Significant	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize15	PowerAtEffectSize2	PowerAtEffectSize20	PowerAtEffectSize25	PowerAtEffectSize3	PowerAtEffectSize5	PowerAtEffectSize50	ValidConnection	CellType	Reference	Regulated	Dataset	hg19_target_chr	hg19_target_start	hg19_target_end	target_name	target_type	TSS_control_gene	de_assigned_gene
chr1	2578267	2578568	PEX10|chr1:2509706-2510007:.	chr1:2509706-2510007	-0.04303997272928284	chr1	2413796	2413797	PEX10	FALSE	0.6178571428571429	0.73	0.96	0.11	1	1	0.07	0.19	1	NA	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2509706	2510007	chr1:2509706-2510007	enh	NA	NA
chr1	2578267	2578568	RER1|chr1:2509706-2510007:.	chr1:2509706-2510007	0.00601415229966395	chr1	2391775	2391776	RER1	FALSE	0.9866736474694592	0.58	0.86	0.04	0.99	1	0.07	0.18	1	NA	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2509706	2510007	chr1:2509706-2510007	enh	NA	NA
chr1	2587077	2587378	PEX10|chr1:2518516-2518817:.	chr1:2518516-2518817	0.02200798000767201	chr1	2413796	2413797	PEX10	FALSE	0.8485622086769452	0.59	0.84	0.06	0.99	1	0.14	0.19	1	overlaps potential protein coding gene body: PRXL2B	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2518516	2518817	chr1:2518516-2518817	enh	NA	NA
chr1	2587077	2587378	RER1|chr1:2518516-2518817:.	chr1:2518516-2518817	-0.00235319145667656	chr1	2391775	2391776	RER1	FALSE	0.9980666150271108	0.51	0.83	0.03	0.97	1	0.11	0.17	1	overlaps potential protein coding gene body: PRXL2B	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2518516	2518817	chr1:2518516-2518817	enh	NA	NA
chr1	2591620	2591921	PEX10|chr1:2523059-2523360:.	chr1:2523059-2523360	-0.01530996851725208	chr1	2413796	2413797	PEX10	FALSE	0.9156820590461772	0.63	0.89	0.07	0.99	1	0.12	0.24	1	overlaps potential protein coding gene body: MMEL1	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2523059	2523360	chr1:2523059-2523360	enh	NA	NA
chr1	2591620	2591921	RER1|chr1:2523059-2523360:.	chr1:2523059-2523360	-0.00258318163502913	chr1	2391775	2391776	RER1	FALSE	0.9948722135007848	0.48	0.86	0.06	0.99	1	0.1	0.18	1	overlaps potential protein coding gene body: MMEL1	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2523059	2523360	chr1:2523059-2523360	enh	NA	NA
chr1	2593855	2594156	PEX10|chr1:2525294-2525595:.	chr1:2525294-2525595	0.0134766343472521	chr1	2413796	2413797	PEX10	FALSE	0.9256907016266084	0.75	0.89	0.05	0.99	1	0.14	0.24	1	overlaps potential protein coding gene body: MMEL1	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2525294	2525595	chr1:2525294-2525595	enh	NA	NA
chr1	2593855	2594156	RER1|chr1:2525294-2525595:.	chr1:2525294-2525595	0.0147565262797551	chr1	2391775	2391776	RER1	FALSE	0.9107729166666668	0.61	0.87	0.04	0.99	1	0.1	0.12	1	overlaps potential protein coding gene body: MMEL1	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2525294	2525595	chr1:2525294-2525595	enh	NA	NA
chr1	2594570	2594871	PEX10|chr1:2526009-2526310:.	chr1:2526009-2526310	0.0114448208057325	chr1	2413796	2413797	PEX10	FALSE	0.9408334833483348	0.47	0.88	0.09	0.99	1	0.16	0.24	1	overlaps potential protein coding gene body: MMEL1	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2526009	2526310	chr1:2526009-2526310	enh	NA	NA
chr1	2594570	2594871	RER1|chr1:2526009-2526310:.	chr1:2526009-2526310	0.05037729470634655	chr1	2391775	2391776	RER1	FALSE	0.5794501573976916	0.43	0.93	0.06	0.98	1	0.02	0.14	1	overlaps potential protein coding gene body: MMEL1	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2526009	2526310	chr1:2526009-2526310	enh	NA	NA
chr1	2595765	2596066	PEX10|chr1:2527204-2527505:.	chr1:2527204-2527505	0.00652711503515268	chr1	2413796	2413797	PEX10	FALSE	0.9557217030114226	0.57	0.86	0.07	0.99	1	0.08	0.17	1	overlaps potential protein coding gene body: MMEL1	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2527204	2527505	chr1:2527204-2527505	enh	NA	NA
chr1	2595765	2596066	RER1|chr1:2527204-2527505:.	chr1:2527204-2527505	-0.0013696467094787	chr1	2391775	2391776	RER1	FALSE	0.9948722135007848	0.48	0.88	0.06	0.98	1	0.06	0.12	1	overlaps potential protein coding gene body: MMEL1	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2527204	2527505	chr1:2527204-2527505	enh	NA	NA
chr1	2796890	2797191	PEX10|chr1:2713455-2713756:.	chr1:2713455-2713756	-0.01872116352791519	chr1	2413796	2413797	PEX10	FALSE	0.8823103654883163	0.6	0.95	0.1	0.98	1	0.07	0.25	1	overlaps potential protein coding gene body: TTC34	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2713455	2713756	chr1:2713455-2713756	enh	NA	NA
chr1	2796890	2797191	RER1|chr1:2713455-2713756:.	chr1:2713455-2713756	0.04466258023839709	chr1	2391775	2391776	RER1	FALSE	0.6547598393574298	0.55	0.83	0.06	0.99	1	0.07	0.22	1	overlaps potential protein coding gene body: TTC34	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2713455	2713756	chr1:2713455-2713756	enh	NA	NA
chr1	2800358	2800659	PEX10|chr1:2716923-2717224:.	chr1:2716923-2717224	0.04406393080463755	chr1	2413796	2413797	PEX10	FALSE	0.42344605475040265	0.67	0.92	0.06	0.99	1	0.11	0.21	1	overlaps potential protein coding gene body: TTC34	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2716923	2717224	chr1:2716923-2717224	enh	NA	NA
chr1	2800358	2800659	RER1|chr1:2716923-2717224:.	chr1:2716923-2717224	-0.02941090124167955	chr1	2391775	2391776	RER1	FALSE	0.8085820701602424	0.5	0.81	0.09	0.98	1	0.08	0.18	1	overlaps potential protein coding gene body: TTC34	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2716923	2717224	chr1:2716923-2717224	enh	NA	NA
chr1	2801649	2801950	PEX10|chr1:2718214-2718515:.	chr1:2718214-2718515	0.00249611907099867	chr1	2413796	2413797	PEX10	FALSE	0.9946675143038778	0.57	0.88	0.08	0.98	1	0.1	0.15	1	overlaps potential promoter: TTC34; overlaps potential protein coding gene body: TTC34	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2718214	2718515	chr1:2718214-2718515	enh	NA	NA
chr1	2801649	2801950	RER1|chr1:2718214-2718515:.	chr1:2718214-2718515	-0.0167107123400223	chr1	2391775	2391776	RER1	FALSE	0.909848492791612	0.46	0.86	0.04	0.97	1	0.05	0.18	1	overlaps potential promoter: TTC34; overlaps potential protein coding gene body: TTC34	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2718214	2718515	chr1:2718214-2718515	enh	NA	NA
chr1	2803075	2803376	PEX10|chr1:2719640-2719941:.	chr1:2719640-2719941	-0.00148945391410759	chr1	2413796	2413797	PEX10	FALSE	1	0.51	0.83	0.05	0.97	1	0.04	0.12	1	NA	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2719640	2719941	chr1:2719640-2719941	enh	NA	NA
chr1	2803075	2803376	RER1|chr1:2719640-2719941:.	chr1:2719640-2719941	0.01942147535111416	chr1	2391775	2391776	RER1	FALSE	0.8921587119033927	0.52	0.73	0.02	0.97	1	0.07	0.11	1	NA; < 80% power at 15% effect size	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2719640	2719941	chr1:2719640-2719941	enh	NA	NA
chr1	2803665	2803966	PEX10|chr1:2720230-2720531:.	chr1:2720230-2720531	0.01996882688647283	chr1	2413796	2413797	PEX10	FALSE	0.8746080953875118	0.59	0.87	0.03	1	1	0.1	0.19	1	NA	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2720230	2720531	chr1:2720230-2720531	enh	NA	NA
chr1	2803665	2803966	RER1|chr1:2720230-2720531:.	chr1:2720230-2720531	0.00990492423781619	chr1	2391775	2391776	RER1	FALSE	0.9612250543370876	0.46	0.86	0.04	0.95	1	0.04	0.16	1	NA	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2720230	2720531	chr1:2720230-2720531	enh	NA	NA
chr1	3070110	3070411	PEX10|chr1:2986674-2986975:.	chr1:2986674-2986975	-0.01031932091108078	chr1	2413796	2413797	PEX10	FALSE	0.9175293244246472	0.67	0.92	0.13	1	0.99	0.11	0.18	1	overlaps potential protein coding gene body: PRDM16	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2986674	2986975	chr1:2986674-2986975	enh	NA	NA
chr1	3070110	3070411	RER1|chr1:2986674-2986975:.	chr1:2986674-2986975	-0.00501335318439377	chr1	2391775	2391776	RER1	FALSE	0.9715985294117648	0.58	0.89	0.04	0.98	1	0.04	0.22	1	overlaps potential protein coding gene body: PRDM16	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2986674	2986975	chr1:2986674-2986975	enh	NA	NA
chr1	3071054	3071355	PEX10|chr1:2987618-2987919:.	chr1:2987618-2987919	0.02429171539983166	chr1	2413796	2413797	PEX10	FALSE	0.8056944937833038	0.73	0.95	0.15	1	1	0.14	0.28	1	overlaps potential protein coding gene body: PRDM16	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2987618	2987919	chr1:2987618-2987919	enh	NA	NA
chr1	3071054	3071355	RER1|chr1:2987618-2987919:.	chr1:2987618-2987919	-0.00950701851834079	chr1	2391775	2391776	RER1	FALSE	0.9461055385957262	0.72	0.94	0.15	0.99	1	0.13	0.36	1	overlaps potential protein coding gene body: PRDM16	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	2987618	2987919	chr1:2987618-2987919	enh	NA	NA
chr1	3221991	3222292	PEX10|chr1:3138555-3138856:.	chr1:3138555-3138856	0.00314495848834406	chr1	2413796	2413797	PEX10	FALSE	0.9872960635130664	0.63	0.91	0.07	1	1	0.06	0.29	1	overlaps potential protein coding gene body: PRDM16	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3138555	3138856	chr1:3138555-3138856	enh	NA	NA
chr1	3221991	3222292	RER1|chr1:3138555-3138856:.	chr1:3138555-3138856	-0.01295441047318457	chr1	2391775	2391776	RER1	FALSE	0.9346493506493506	0.51	0.87	0.05	1	1	0.09	0.15	1	overlaps potential protein coding gene body: PRDM16	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3138555	3138856	chr1:3138555-3138856	enh	NA	NA
chr1	3391767	3392068	PEX10|chr1:3308331-3308632:.	chr1:3308331-3308632	0.00110633646020663	chr1	2413796	2413797	PEX10	FALSE	0.9872960635130664	0.59	0.95	0.05	0.97	1	0.1	0.12	1	overlaps potential protein coding gene body: PRDM16	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3308331	3308632	chr1:3308331-3308632	enh	NA	NA
chr1	3391767	3392068	RER1|chr1:3308331-3308632:.	chr1:3308331-3308632	0.01502323738646937	chr1	2391775	2391776	RER1	FALSE	0.936373780902699	0.51	0.81	0.08	0.98	1	0.05	0.19	1	overlaps potential protein coding gene body: PRDM16	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3308331	3308632	chr1:3308331-3308632	enh	NA	NA
chr1	3453141	3453442	PEX10|chr1:3369705-3370006:.	chr1:3369705-3370006	0.00622630803603674	chr1	2413796	2413797	PEX10	FALSE	0.9712280701754388	0.7	0.96	0.1	0.99	1	0.09	0.21	1	NA	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3369705	3370006	chr1:3369705-3370006	enh	NA	NA
chr1	3453141	3453442	RER1|chr1:3369705-3370006:.	chr1:3369705-3370006	0.01198015953338949	chr1	2391775	2391776	RER1	FALSE	0.9621115241635688	0.68	0.94	0.08	1	1	0.11	0.12	1	NA	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3369705	3370006	chr1:3369705-3370006	enh	NA	NA
chr1	3465220	3465521	PEX10|chr1:3381784-3382085:.	chr1:3381784-3382085	-0.01369045014229941	chr1	2413796	2413797	PEX10	FALSE	0.9136576211006848	0.62	0.94	0.15	1	1	0.09	0.27	1	overlaps potential promoter: ARHGEF16; overlaps potential protein coding gene body: ARHGEF16	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3381784	3382085	chr1:3381784-3382085	enh	NA	NA
chr1	3465220	3465521	RER1|chr1:3381784-3382085:.	chr1:3381784-3382085	-0.02989569861674046	chr1	2391775	2391776	RER1	FALSE	0.8056944937833038	0.58	0.85	0.03	0.99	1	0.1	0.22	1	overlaps potential promoter: ARHGEF16; overlaps potential protein coding gene body: ARHGEF16	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3381784	3382085	chr1:3381784-3382085	enh	NA	NA
chr1	3466051	3466352	PEX10|chr1:3382615-3382916:.	chr1:3382615-3382916	-0.00886704553578721	chr1	2413796	2413797	PEX10	FALSE	0.9501211477151966	0.5	0.89	0.07	0.99	1	0.13	0.12	1	overlaps potential promoter: ARHGEF16; overlaps potential protein coding gene body: ARHGEF16	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3382615	3382916	chr1:3382615-3382916	enh	NA	NA
chr1	3466051	3466352	RER1|chr1:3382615-3382916:.	chr1:3382615-3382916	-0.03430923474339564	chr1	2391775	2391776	RER1	FALSE	0.7781469387755102	0.44	0.84	0.05	0.95	1	0.08	0.12	1	overlaps potential promoter: ARHGEF16; overlaps potential protein coding gene body: ARHGEF16	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3382615	3382916	chr1:3382615-3382916	enh	NA	NA
chr1	3467551	3467852	PEX10|chr1:3384115-3384416:.	chr1:3384115-3384416	0.0253152201214053	chr1	2413796	2413797	PEX10	FALSE	0.8010204664445503	0.61	0.84	0.05	0.99	1	0.08	0.19	1	overlaps potential promoter: ARHGEF16; overlaps potential protein coding gene body: ARHGEF16	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3384115	3384416	chr1:3384115-3384416	enh	NA	NA
chr1	3467551	3467852	RER1|chr1:3384115-3384416:.	chr1:3384115-3384416	-0.02474213201345942	chr1	2391775	2391776	RER1	FALSE	0.8720612244897958	0.56	0.87	0.03	0.98	1	0.08	0.13	1	overlaps potential promoter: ARHGEF16; overlaps potential protein coding gene body: ARHGEF16	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3384115	3384416	chr1:3384115-3384416	enh	NA	NA
chr1	3468451	3468752	PEX10|chr1:3385015-3385316:.	chr1:3385015-3385316	0.00585393943414991	chr1	2413796	2413797	PEX10	FALSE	0.9712280701754388	0.57	0.89	0.06	0.99	1	0.1	0.2	1	overlaps potential promoter: ARHGEF16; overlaps potential protein coding gene body: ARHGEF16	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3385015	3385316	chr1:3385015-3385316	enh	NA	NA
chr1	3468451	3468752	RER1|chr1:3385015-3385316:.	chr1:3385015-3385316	-0.02475671659454048	chr1	2391775	2391776	RER1	FALSE	0.864597808037197	0.57	0.85	0.1	1	1	0.08	0.14	1	overlaps potential promoter: ARHGEF16; overlaps potential protein coding gene body: ARHGEF16	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3385015	3385316	chr1:3385015-3385316	enh	NA	NA
chr1	3533495	3533796	PEX10|chr1:3450059-3450360:.	chr1:3450059-3450360	-0.00401489945815136	chr1	2413796	2413797	PEX10	FALSE	0.9891235216819974	0.54	0.89	0.07	0.99	1	0.13	0.17	1	overlaps potential protein coding gene body: MEGF6	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3450059	3450360	chr1:3450059-3450360	enh	NA	NA
chr1	3533495	3533796	RER1|chr1:3450059-3450360:.	chr1:3450059-3450360	0.01650226858572945	chr1	2391775	2391776	RER1	FALSE	0.9256907016266084	0.61	0.87	0.1	1	1	0.08	0.17	1	overlaps potential protein coding gene body: MEGF6	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3450059	3450360	chr1:3450059-3450360	enh	NA	NA
chr1	3610588	3610889	PEX10|chr1:3527152-3527453:.	chr1:3527152-3527453	-0.02394268495579066	chr1	2413796	2413797	PEX10	FALSE	0.8588255892255893	0.56	0.89	0.09	1	1	0.12	0.22	1	overlaps potential protein coding gene body: MEGF6	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3527152	3527453	chr1:3527152-3527453	enh	NA	NA
chr1	3610588	3610889	RER1|chr1:3527152-3527453:.	chr1:3527152-3527453	0.01112577571785911	chr1	2391775	2391776	RER1	FALSE	0.9512621112756504	0.55	0.92	0.04	0.99	1	0.08	0.09	1	overlaps potential protein coding gene body: MEGF6	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3527152	3527453	chr1:3527152-3527453	enh	NA	NA
chr1	3619047	3619348	PEX10|chr1:3535611-3535912:.	chr1:3535611-3535912	0.01875693433867598	chr1	2413796	2413797	PEX10	FALSE	0.9269812949640288	0.54	0.85	0.06	0.98	1	0.08	0.24	1	NA	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3535611	3535912	chr1:3535611-3535912	enh	NA	NA
chr1	3619047	3619348	RER1|chr1:3535611-3535912:.	chr1:3535611-3535912	-0.06480356950842348	chr1	2391775	2391776	RER1	FALSE	0.3771967213114754	0.48	0.82	0.06	0.97	1	0.09	0.16	1	NA	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3535611	3535912	chr1:3535611-3535912	enh	NA	NA
chr1	3632790	3633091	PEX10|chr1:3549354-3549655:.	chr1:3549354-3549655	-0.02823891292174252	chr1	2413796	2413797	PEX10	FALSE	0.7659029126213591	0.59	0.89	0.08	0.99	1	0.12	0.11	1	overlaps potential protein coding gene body: WRAP73	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3549354	3549655	chr1:3549354-3549655	enh	NA	NA
chr1	3632790	3633091	RER1|chr1:3549354-3549655:.	chr1:3549354-3549655	-0.01223645756199365	chr1	2391775	2391776	RER1	FALSE	0.936373780902699	0.43	0.87	0.08	0.98	1	0.08	0.2	1	overlaps potential protein coding gene body: WRAP73	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3549354	3549655	chr1:3549354-3549655	enh	NA	NA
chr1	3633902	3634203	PEX10|chr1:3550466-3550767:.	chr1:3550466-3550767	-0.00260723634829529	chr1	2413796	2413797	PEX10	FALSE	0.9872960635130664	0.66	0.96	0.06	1	1	0.08	0.23	1	overlaps potential protein coding gene body: WRAP73	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3550466	3550767	chr1:3550466-3550767	enh	NA	NA
chr1	3633902	3634203	RER1|chr1:3550466-3550767:.	chr1:3550466-3550767	0.00748443127444531	chr1	2391775	2391776	RER1	FALSE	0.9587644408029496	0.65	0.93	0.07	1	1	0.12	0.28	1	overlaps potential protein coding gene body: WRAP73	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3550466	3550767	chr1:3550466-3550767	enh	NA	NA
chr1	3645260	3645561	PEX10|chr1:3561824-3562125:.	chr1:3561824-3562125	0.01009395429741033	chr1	2413796	2413797	PEX10	FALSE	0.9256907016266084	0.61	0.94	0.07	1	1	0.14	0.29	1	overlaps potential protein coding gene body: WRAP73	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3561824	3562125	chr1:3561824-3562125	enh	NA	NA
chr1	3645260	3645561	RER1|chr1:3561824-3562125:.	chr1:3561824-3562125	0.01943924344318359	chr1	2391775	2391776	RER1	FALSE	0.8802340168878167	0.62	0.9	0.11	1	1	0.11	0.17	1	overlaps potential protein coding gene body: WRAP73	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3561824	3562125	chr1:3561824-3562125	enh	NA	NA
chr1	3651454	3651755	PEX10|chr1:3568018-3568319:.	chr1:3568018-3568319	-0.03489498364223209	chr1	2413796	2413797	PEX10	FALSE	0.765188584219362	0.52	0.86	0.03	1	1	0.06	0.18	1	overlaps potential promoter: TP73; overlaps potential protein coding gene body: WRAP73	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3568018	3568319	chr1:3568018-3568319	enh	NA	NA
chr1	3651454	3651755	RER1|chr1:3568018-3568319:.	chr1:3568018-3568319	0.00380094581771439	chr1	2391775	2391776	RER1	FALSE	0.98493851590106	0.54	0.83	0.05	0.98	0.98	0.05	0.18	1	overlaps potential promoter: TP73; overlaps potential protein coding gene body: WRAP73	WTC11	WTC11_DC_TAP_Seq	FALSE	WTC11_DC_TAP_Seq	chr1	3568018	3568319	chr1:3568018-3568319	enh	NA	NA
