intended_target_name_hg38	targeting_chr_hg38	targeting_start_hg38	targeting_end_hg38	intended_target_name_hg19	targeting_chr_hg19	targeting_start_hg19	targeting_end_hg19	element_gene_pair_identifier_hg38	element_gene_pair_identifier_hg19	gene_symbol	gene_id	cell_type	fold_change_effect_size	log_2_FC_effect_size	pct_change_effect_size	standard_error_fold_change	standard_error_log_2_FC	standard_error_pct_change	lower_CI_95_fold_change	upper_CI_95_fold_change	lower_CI_95_log_2_FC	upper_CI_95_log_2_FC	lower_CI_95_pct_change	upper_CI_95_pct_change	sceptre_p_value	sceptre_adj_p_value	significant	distance_to_gencode_gene_TSS	distance_to_abc_canonical_TSS	chrTSS_hg38	startTSS_hg38	endTSS_hg38	element_location	gencode_promoter_overlap	abc_tss_overlap	gencode_protein_coding_gene_body_overlap	DistalElement_Gene	DistalPromoter_Gene	selfPromoter	Positive_Control_DistalElement_Gene	Positive_Control_selfPromoter	Random_DistalElement_Gene	power_at_effect_size_2	power_at_effect_size_3	power_at_effect_size_5	power_at_effect_size_10	power_at_effect_size_15	power_at_effect_size_20	power_at_effect_size_25	power_at_effect_size_50	intended_positive_control_distal_element_target_gene	intended_positive_control_target_gene	design_file_target_name	design_file_type	guide_ids	include_in_fdr	sceptre_adj_p_value_wo_pos_controls	significant_wo_pos_controls_20fdr	power_at_effect_size_2_wo_pos_controls_20fdr	power_at_effect_size_3_wo_pos_controls_20fdr	power_at_effect_size_5_wo_pos_controls_20fdr	power_at_effect_size_10_wo_pos_controls_20fdr	power_at_effect_size_15_wo_pos_controls_20fdr	power_at_effect_size_20_wo_pos_controls_20fdr	power_at_effect_size_25_wo_pos_controls_20fdr	power_at_effect_size_50_wo_pos_controls_20fdr	mean_sim_pert_cells	resized_merged_targeting_chr_hg38	resized_merged_targeting_start_hg38	resized_merged_targeting_end_hg38	resized_merged_element_gene_pair_identifier_hg38	ubiq_category	direct_rate_negative	indirect_rate_negative	direct_vs_indirect_negative	direct_rate_positive	indirect_rate_positive	direct_vs_indirect_positive	element_category
chr2:85886569-85886870	chr2	85886569	85886870	chr2:86113692-86113993	chr2	86113692	86113993	USP39|chr2:85886569-85886870	USP39|chr2:86113692-86113993	USP39	ENSG00000168883	K562	0.932831453	-0.10031166	-6.716854661	0.024560646	0.037984914	2.456064638	0.884692586	0.98097032	-0.174762092	-0.025861229	-11.53074135	-1.902967971	0.005577668	0.134983509	FALSE	283863	270628.5	chr2	85602856	85602857	distal	NA	NA	ST3GAL5	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.04	0.07	0.12	0.33	0.79	0.96	1	1	NA	NA	chr2:86113692-86113993	enh	"K562_Random_Screen_Crop_2071,K562_Random_Screen_Crop_2072,K562_Random_Screen_Crop_2073,K562_Random_Screen_Crop_2074,K562_Random_Screen_Crop_2075,K562_Random_Screen_Crop_2076,K562_Random_Screen_Crop_2077,K562_Random_Screen_Crop_2078,K562_Random_Screen_Crop_2079,K562_Random_Screen_Crop_2080,K562_Random_Screen_Crop_2081,K562_Random_Screen_Crop_2082,K562_Random_Screen_Crop_2083,K562_Random_Screen_Crop_2084,K562_Random_Screen_Crop_2085"	TRUE	0.243478846	FALSE	0.04	0.07	0.12	0.33	0.77	0.96	1	1	612	chr2	85886470	85886969	USP39|chr2:85886470-85886969	Ubiq. expr. gene	0.002981001	0.002987066	0.499491853	9.86E-04	0.006201574	0.137144411	H3K27ac
chr2:74497901-74498202	chr2	74497901	74498202	chr2:74725028-74725329	chr2	74725028	74725329	HTRA2|chr2:74497901-74498202	HTRA2|chr2:74725028-74725329	HTRA2	ENSG00000115317	WTC11	1.217613343	0.284056073	21.76133426	0.080137659	0.094951492	8.01376592	1.060543531	1.374683155	0.097951149	0.470160997	6.054353058	37.46831546	0.00555198	0.136189247	FALSE	31326	31352.5	chr2	74529377	74529378	distal	NA	NA	LBX2	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.01	0.02	0.03	0.07	0.28	0.31	0.59	1	NA	NA	chr2:74725028-74725329	enh	"WTC11_Random_Screen_Crop_10116,WTC11_Random_Screen_Crop_10117,WTC11_Random_Screen_Crop_10118,WTC11_Random_Screen_Crop_10119,WTC11_Random_Screen_Crop_10120,WTC11_Random_Screen_Crop_10121,WTC11_Random_Screen_Crop_10122,WTC11_Random_Screen_Crop_10123,WTC11_Random_Screen_Crop_10124,WTC11_Random_Screen_Crop_10125,WTC11_Random_Screen_Crop_10126,WTC11_Random_Screen_Crop_10127,WTC11_Random_Screen_Crop_10128,WTC11_Random_Screen_Crop_10129,WTC11_Random_Screen_Crop_10130"	TRUE	0.204757031	FALSE	0.01	0.02	0.05	0.08	0.32	0.34	0.69	1	750	chr2	74497802	74498301	HTRA2|chr2:74497802-74498301	Other gene	0.055726438	0.005946309	0.903582878	0.00281268	0.007651007	0.26880393	H3K27me3 element
chr1:154159580-154159881	chr1	154159580	154159881	chr1:154132056-154132357	chr1	154132056	154132357	SNAPIN|chr1:154159580-154159881	SNAPIN|chr1:154132056-154132357	SNAPIN	ENSG00000143553	K562	0.878417306	-0.187021618	-12.15826944	0.043456142	0.071371499	4.345614161	0.793243268	0.963591343	-0.326909756	-0.04713348	-20.6756732	-3.640865685	0.005654991	0.136247096	FALSE	501027	501077.5	chr1	153658654	153658655	distal	NA	NA	TPM3	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.01	0.02	0.08	0.2	0.45	0.78	0.97	1	NA	NA	chr1:154132056-154132357	enh	"K562_Random_Screen_Crop_560,K562_Random_Screen_Crop_561,K562_Random_Screen_Crop_562,K562_Random_Screen_Crop_563,K562_Random_Screen_Crop_564,K562_Random_Screen_Crop_565,K562_Random_Screen_Crop_566,K562_Random_Screen_Crop_567,K562_Random_Screen_Crop_568,K562_Random_Screen_Crop_569,K562_Random_Screen_Crop_570,K562_Random_Screen_Crop_571,K562_Random_Screen_Crop_572"	TRUE	0.245083267	FALSE	0.01	0.02	0.07	0.18	0.44	0.77	0.96	1	571	chr1	154159481	154159980	SNAPIN|chr1:154159481-154159980	Ubiq. expr. gene	0.001401321	0.002987066	0.319324881	7.52E-04	0.006201574	0.108175716	H3K27ac
chr2:75493273-75493574	chr2	75493273	75493574	chr2:75720399-75720700	chr2	75720399	75720700	MOGS|chr2:75493273-75493574	MOGS|chr2:75720399-75720700	MOGS	ENSG00000115275	WTC11	1.055244763	0.077577669	5.524476281	0.020940125	0.028628632	2.0940125	1.014202118	1.096287408	0.02146555	0.133689789	1.420211781	9.628740781	0.005679991	0.138811385	FALSE	1028012	1028013.5	chr2	74465409	74465410	distal	NA	NA	EVA1A	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.05	0.15	0.21	0.73	0.92	1	1	1	NA	NA	chr2:75720399-75720700	enh	"WTC11_Random_Screen_Crop_10466,WTC11_Random_Screen_Crop_10467,WTC11_Random_Screen_Crop_10468,WTC11_Random_Screen_Crop_10469,WTC11_Random_Screen_Crop_10470,WTC11_Random_Screen_Crop_10471,WTC11_Random_Screen_Crop_10472,WTC11_Random_Screen_Crop_10473,WTC11_Random_Screen_Crop_10474,WTC11_Random_Screen_Crop_10475,WTC11_Random_Screen_Crop_10476,WTC11_Random_Screen_Crop_10477,WTC11_Random_Screen_Crop_10478,WTC11_Random_Screen_Crop_10479,WTC11_Random_Screen_Crop_10480"	TRUE	0.207748369	FALSE	0.06	0.15	0.28	0.76	0.94	1	1	1	729	chr2	75493174	75493673	MOGS|chr2:75493174-75493673	Other gene	5.39E-04	0.005946309	0.083156085	5.34E-04	0.007651007	0.065285578	No H3K27ac
chr16:31455692-31455993	chr16	31455692	31455993	chr16:31467013-31467314	chr16	31467013	31467314	PRSS8|chr16:31455692-31455993	PRSS8|chr16:31467013-31467314	PRSS8	ENSG00000052344	WTC11	1.039442677	0.055810199	3.944267701	0.014527014	0.020162777	1.452701408	1.010969729	1.067915625	0.016291155	0.095329242	1.096972942	6.791562461	0.005709275	0.138991766	FALSE	320115	320080.5	chr16	31135761	31135762	distal	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.2	0.19	0.25	0.81	1	1	1	1	NA	NA	chr16:31467013-31467314	enh	"WTC11_Random_Screen_Crop_6448,WTC11_Random_Screen_Crop_6449,WTC11_Random_Screen_Crop_6450,WTC11_Random_Screen_Crop_6451,WTC11_Random_Screen_Crop_6452,WTC11_Random_Screen_Crop_6453,WTC11_Random_Screen_Crop_6454,WTC11_Random_Screen_Crop_6455,WTC11_Random_Screen_Crop_6456,WTC11_Random_Screen_Crop_6457,WTC11_Random_Screen_Crop_6458,WTC11_Random_Screen_Crop_6459,WTC11_Random_Screen_Crop_6460,WTC11_Random_Screen_Crop_6461,WTC11_Random_Screen_Crop_6462"	TRUE	0.207748369	FALSE	0.21	0.2	0.28	0.82	1	1	1	1	864	chr16	31455593	31456092	PRSS8|chr16:31455593-31456092	Other gene	0.002541061	0.005946309	0.299393246	9.31E-04	0.007651007	0.108473884	H3K27ac
chr8:144479012-144479313	chr8	144479012	144479313	chr8:145704395-145704696	chr8	145704395	145704696	FOXH1|chr8:144479012-144479313	FOXH1|chr8:145704395-145704696	FOXH1	ENSG00000160973	WTC11	0.890129176	-0.167913379	-10.98708241	0.040404431	0.065486307	4.040443126	0.810936491	0.969321861	-0.296266541	-0.039560217	-18.90635094	-3.067813882	0.005729658	0.138991766	FALSE	3313	2827.5	chr8	144476334	144476335	distal	NA	NA	PPP1R16A	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.08	0.05	0.11	0.33	0.6	0.91	0.97	1	NA	NA	chr8:145704395-145704696	enh	"WTC11_Random_Screen_Crop_14908,WTC11_Random_Screen_Crop_14909,WTC11_Random_Screen_Crop_14910,WTC11_Random_Screen_Crop_14911,WTC11_Random_Screen_Crop_14912,WTC11_Random_Screen_Crop_14913,WTC11_Random_Screen_Crop_14914,WTC11_Random_Screen_Crop_14915,WTC11_Random_Screen_Crop_14916,WTC11_Random_Screen_Crop_14917,WTC11_Random_Screen_Crop_14918,WTC11_Random_Screen_Crop_14919,WTC11_Random_Screen_Crop_14920,WTC11_Random_Screen_Crop_14921,WTC11_Random_Screen_Crop_14922"	TRUE	0.207748369	FALSE	0.08	0.07	0.15	0.37	0.67	0.94	0.98	1	908	chr8	144478913	144479412	FOXH1|chr8:144478913-144479412	Other gene	1	0.005946309	0.994088841	0.00819012	0.007651007	0.51701625	CTCF element
chr19:8441796-8442097	chr19	8441796	8442097	chr19:8506680-8506981	chr19	8506680	8506981	ZNF414|chr19:8441796-8442097	ZNF414|chr19:8506680-8506981	ZNF414	ENSG00000133250	WTC11	2.601704451	1.379457084	160.1704451	0.778394079	0.431634453	77.8394079	1.076052056	4.127356846	0.533453556	2.225460612	7.605205611	312.7356846	0.005780702	0.139714465	FALSE	72221	72217.5	chr19	8514163	8514164	distal	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	NA	NA	chr19:8506680-8506981	enh	"WTC11_Random_Screen_Crop_8243,WTC11_Random_Screen_Crop_8244,WTC11_Random_Screen_Crop_8245,WTC11_Random_Screen_Crop_8246,WTC11_Random_Screen_Crop_8247,WTC11_Random_Screen_Crop_8248,WTC11_Random_Screen_Crop_8249,WTC11_Random_Screen_Crop_8250,WTC11_Random_Screen_Crop_8251,WTC11_Random_Screen_Crop_8252,WTC11_Random_Screen_Crop_8253,WTC11_Random_Screen_Crop_8254,WTC11_Random_Screen_Crop_8255,WTC11_Random_Screen_Crop_8256,WTC11_Random_Screen_Crop_8257"	TRUE	0.208428213	FALSE	0	0	0	0	0	0	0	0	862	chr19	8441697	8442196	ZNF414|chr19:8441697-8442196	Ubiq. expr. gene	0.018370295	0.005946309	0.755463022	0.00189035	0.007651007	0.19812173	High H3K27ac
chr3:50226962-50227263	chr3	50226962	50227263	chr3:50264394-50264695	chr3	50264394	50264695	IFRD2|chr3:50226962-50227263	IFRD2|chr3:50264394-50264695	IFRD2	ENSG00000214706	K562	0.925879795	-0.111103191	-7.412020482	0.026753702	0.041687304	2.67537018	0.87344254	0.978317051	-0.192810308	-0.029396074	-12.65574603	-2.168294931	0.005891551	0.141491645	FALSE	65805	65482.5	chr3	50292917	50292918	distal	NA	NA	GNAI2	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.04	0.04	0.15	0.46	0.81	0.98	0.99	1	NA	NA	chr3:50264394-50264695	enh	"K562_Random_Screen_Crop_2606,K562_Random_Screen_Crop_2607,K562_Random_Screen_Crop_2608,K562_Random_Screen_Crop_2609,K562_Random_Screen_Crop_2610,K562_Random_Screen_Crop_2611,K562_Random_Screen_Crop_2612,K562_Random_Screen_Crop_2613,K562_Random_Screen_Crop_2614,K562_Random_Screen_Crop_2615,K562_Random_Screen_Crop_2616,K562_Random_Screen_Crop_2617,K562_Random_Screen_Crop_2618,K562_Random_Screen_Crop_2619,K562_Random_Screen_Crop_2620"	TRUE	0.253824759	FALSE	0.03	0.04	0.15	0.45	0.79	0.98	0.99	1	834	chr3	50226863	50228277	IFRD2|chr3:50226863-50228277	Other gene	0.020787196	0.002987066	0.874357147	0.001975897	0.006201574	0.241626891	High H3K27ac
chr11:65715303-65715604	chr11	65715303	65715604	chr11:65482774-65483075	chr11	65482774	65483075	KAT5|chr11:65715303-65715604	KAT5|chr11:65482774-65483075	KAT5	ENSG00000172977	WTC11	0.934102129	-0.0983478	-6.589787052	0.023986916	0.037047132	2.398691635	0.887087773	0.981116486	-0.17096018	-0.025735421	-11.29122266	-1.888351447	0.005883308	0.141673508	FALSE	3457	3452.5	chr11	65711996	65711997	distal	NA	NA	"RNASEH2C,KAT5"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.07	0.06	0.14	0.41	0.84	0.96	1	1	NA	NA	chr11:65482774-65483075	enh	"WTC11_Random_Screen_Crop_4387,WTC11_Random_Screen_Crop_4388,WTC11_Random_Screen_Crop_4389,WTC11_Random_Screen_Crop_4390,WTC11_Random_Screen_Crop_4391,WTC11_Random_Screen_Crop_4392,WTC11_Random_Screen_Crop_4393,WTC11_Random_Screen_Crop_4394,WTC11_Random_Screen_Crop_4395,WTC11_Random_Screen_Crop_4396"	TRUE	0.210949282	FALSE	0.08	0.07	0.14	0.45	0.85	0.96	1	1	567	chr11	65715204	65715703	KAT5|chr11:65715204-65715703	Other gene	1	0.005946309	0.994088841	0.008026008	0.007651007	0.511960229	No H3K27ac
chr19:10061991-10062292	chr19	10061991	10062292	chr19:10172667-10172968	chr19	10172667	10172968	YIPF2|chr19:10061991-10062292	YIPF2|chr19:10172667-10172968	YIPF2	ENSG00000130733	WTC11	0.905067832	-0.143902173	-9.49321676	0.036070887	0.057497669	3.607088742	0.834368893	0.975766772	-0.256597603	-0.031206742	-16.5631107	-2.423322825	0.005977566	0.14341796	FALSE	866540	866525.5	chr19	10928680	10928681	distal	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.05	0.03	0.15	0.35	0.69	0.95	0.99	1	NA	NA	chr19:10172667-10172968	enh	"WTC11_Random_Screen_Crop_7309,WTC11_Random_Screen_Crop_7310,WTC11_Random_Screen_Crop_7311,WTC11_Random_Screen_Crop_7312,WTC11_Random_Screen_Crop_7313,WTC11_Random_Screen_Crop_7314,WTC11_Random_Screen_Crop_7315,WTC11_Random_Screen_Crop_7316,WTC11_Random_Screen_Crop_7317,WTC11_Random_Screen_Crop_7318,WTC11_Random_Screen_Crop_7319,WTC11_Random_Screen_Crop_7320,WTC11_Random_Screen_Crop_7321,WTC11_Random_Screen_Crop_7322,WTC11_Random_Screen_Crop_7323"	TRUE	0.213144824	FALSE	0.05	0.05	0.16	0.4	0.75	0.97	0.99	1	914	chr19	10061892	10062391	YIPF2|chr19:10061892-10062391	Other gene	6.77E-04	0.005946309	0.102182872	5.80E-04	0.007651007	0.070425032	No H3K27ac
chr2:74474961-74475262	chr2	74474961	74475262	chr2:74702088-74702389	chr2	74702088	74702389	GCFC2|chr2:74474961-74475262	GCFC2|chr2:74702088-74702389	GCFC2	ENSG00000005436	WTC11	0.720524594	-0.472880419	-27.94754058	0.090620805	0.181448609	9.062080481	0.542907817	0.898141372	-0.828519694	-0.117241145	-45.70921833	-10.18586284	0.006016446	0.143825869	FALSE	1235873	1235873.5	chr2	75710988	75710989	distal	NA	NA	CCDC142	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.02	0	0.01	0.03	0.09	0.1	0.31	0.99	NA	NA	chr2:74702088-74702389	enh	"WTC11_Random_Screen_Crop_10071,WTC11_Random_Screen_Crop_10072,WTC11_Random_Screen_Crop_10073,WTC11_Random_Screen_Crop_10074,WTC11_Random_Screen_Crop_10075,WTC11_Random_Screen_Crop_10076,WTC11_Random_Screen_Crop_10077,WTC11_Random_Screen_Crop_10078,WTC11_Random_Screen_Crop_10079,WTC11_Random_Screen_Crop_10080,WTC11_Random_Screen_Crop_10081,WTC11_Random_Screen_Crop_10082,WTC11_Random_Screen_Crop_10083,WTC11_Random_Screen_Crop_10084,WTC11_Random_Screen_Crop_10085"	TRUE	0.213198484	FALSE	0.02	0	0.01	0.03	0.09	0.12	0.39	0.99	819	chr2	74474862	74475361	GCFC2|chr2:74474862-74475361	Ubiq. expr. gene	4.22E-04	0.005946309	0.066305743	4.90E-04	0.007651007	0.060138773	CTCF element
chr2:74715475-74715776	chr2	74715475	74715776	chr2:74942602-74942903	chr2	74942602	74942903	AUP1|chr2:74715475-74715776	AUP1|chr2:74942602-74942903	AUP1	ENSG00000115307	WTC11	0.958794003	-0.06070721	-4.120599747	0.014488349	0.021800583	1.448834861	0.930396839	0.987191166	-0.103436354	-0.017978067	-6.960316074	-1.280883419	0.006045138	0.143988185	FALSE	185865	185728.5	chr2	74529938	74529939	distal	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.16	0.11	0.31	0.78	0.98	1	1	1	NA	NA	chr2:74942602-74942903	enh	"WTC11_Random_Screen_Crop_10251,WTC11_Random_Screen_Crop_10252,WTC11_Random_Screen_Crop_10253,WTC11_Random_Screen_Crop_10254,WTC11_Random_Screen_Crop_10255,WTC11_Random_Screen_Crop_10256,WTC11_Random_Screen_Crop_10257,WTC11_Random_Screen_Crop_10258,WTC11_Random_Screen_Crop_10259,WTC11_Random_Screen_Crop_10260,WTC11_Random_Screen_Crop_10261,WTC11_Random_Screen_Crop_10262,WTC11_Random_Screen_Crop_10263,WTC11_Random_Screen_Crop_10264,WTC11_Random_Screen_Crop_10265"	TRUE	0.213198484	FALSE	0.18	0.16	0.34	0.79	0.98	1	1	1	1012	chr2	74714936	74715875	AUP1|chr2:74714936-74715875	Ubiq. expr. gene	0.00523237	0.005946309	0.468066942	0.00120569	0.007651007	0.136133102	CTCF element
chr16:712878-713179	chr16	712878	713179	chr16:762878-763179	chr16	762878	763179	STUB1|chr16:712878-713179	STUB1|chr16:762878-763179	STUB1	ENSG00000103266	K562	1.08639831	0.119553141	8.639831028	0.030239603	0.040157026	3.023960281	1.027128689	1.145667932	0.04084537	0.198260911	2.712868877	14.56679318	0.006036162	0.14404129	FALSE	32804	32918.5	chr16	680224	680225	distal	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.05	0.05	0.07	0.4	0.65	0.9	0.99	1	NA	NA	chr16:762878-763179	enh	"K562_Random_Screen_Crop_7444,K562_Random_Screen_Crop_7445,K562_Random_Screen_Crop_7446,K562_Random_Screen_Crop_7447,K562_Random_Screen_Crop_7448,K562_Random_Screen_Crop_7449,K562_Random_Screen_Crop_7450,K562_Random_Screen_Crop_7451,K562_Random_Screen_Crop_7452,K562_Random_Screen_Crop_7453,K562_Random_Screen_Crop_7454,K562_Random_Screen_Crop_7455"	TRUE	0.257013442	FALSE	0.04	0.05	0.07	0.36	0.65	0.9	0.99	1	601	chr16	712779	713278	STUB1|chr16:712779-713278	Other gene	0.052415667	0.002987066	0.946084498	0.002751663	0.006201574	0.307337198	CTCF element
chr16:87950840-87951141	chr16	87950840	87951141	chr16:87984446-87984747	chr16	87984446	87984747	TRAPPC2L|chr16:87950840-87951141	TRAPPC2L|chr16:87984446-87984747	TRAPPC2L	ENSG00000167515	K562	0.96158829	-0.056508767	-3.841170963	0.014833951	0.022255749	1.483395089	0.932513747	0.990662834	-0.100130035	-0.012887499	-6.748625337	-0.933716589	0.006017109	0.14404129	FALSE	938032	906094.5	chr16	88856220	88856221	promoter	BANP	BANP	BANP	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.07	0.07	0.17	0.7	0.91	1	1	1	NA	NA	chr16:87984446-87984747	enh	"K562_Random_Screen_Crop_7877,K562_Random_Screen_Crop_7878,K562_Random_Screen_Crop_7879,K562_Random_Screen_Crop_7880,K562_Random_Screen_Crop_7881,K562_Random_Screen_Crop_7882,K562_Random_Screen_Crop_7883,K562_Random_Screen_Crop_7884,K562_Random_Screen_Crop_7885,K562_Random_Screen_Crop_7886,K562_Random_Screen_Crop_7887,K562_Random_Screen_Crop_7888,K562_Random_Screen_Crop_7889,K562_Random_Screen_Crop_7890,K562_Random_Screen_Crop_7891"	TRUE	0.257013442	FALSE	0.06	0.06	0.16	0.69	0.9	1	1	1	814	chr16	87950741	87951240	TRAPPC2L|chr16:87950741-87951240	Ubiq. expr. gene	6.09E-04	0.002987066	0.169377463	5.58E-04	0.006201574	0.082575362	NA
chr17:46935744-46936045	chr17	46935744	46936045	chr17:45013110-45013411	chr17	45013110	45013411	HOXB7|chr17:46935744-46936045	HOXB7|chr17:45013110-45013411	HOXB7	ENSG00000260027	K562	1.098744087	0.135855401	9.874408663	0.039699353	0.052126843	3.96993534	1.020933354	1.176554819	0.033686789	0.238024013	2.093335396	17.65548193	0.006160328	0.145636769	FALSE	1697674	1675126.5	chr17	48633571	48633572	distal	NA	NA	"GOSR2,AC005670.2"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.02	0.03	0.11	0.19	0.65	0.88	0.97	1	NA	NA	chr17:45013110-45013411	enh	"K562_Random_Screen_Crop_10006,K562_Random_Screen_Crop_10007,K562_Random_Screen_Crop_10008,K562_Random_Screen_Crop_10009,K562_Random_Screen_Crop_10010,K562_Random_Screen_Crop_10011,K562_Random_Screen_Crop_10012,K562_Random_Screen_Crop_10013,K562_Random_Screen_Crop_10014,K562_Random_Screen_Crop_10015,K562_Random_Screen_Crop_10016,K562_Random_Screen_Crop_10017,K562_Random_Screen_Crop_10018,K562_Random_Screen_Crop_10019,K562_Random_Screen_Crop_10020"	TRUE	0.257819847	FALSE	0.02	0.03	0.11	0.19	0.63	0.86	0.97	1	590	chr17	46935645	46936144	HOXB7|chr17:46935645-46936144	Other gene	2.77E-04	0.002987066	0.084851353	4.21E-04	0.006201574	0.063561173	H3K27ac
chr19:9789057-9789358	chr19	9789057	9789358	chr19:9899733-9900034	chr19	9899733	9900034	PPAN|chr19:9789057-9789358	PPAN|chr19:9899733-9900034	PPAN	ENSG00000130810	K562	0.899074516	-0.153487402	-10.09254839	0.031517533	0.050574439	3.151753344	0.837300151	0.960848882	-0.252613303	-0.054361502	-16.26998494	-3.915111832	0.006161331	0.145636769	FALSE	317155	317014.5	chr19	10106289	10106290	distal	NA	NA	ZNF846	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0	0.03	0.02	0.21	0.61	0.89	0.97	1	NA	NA	chr19:9899733-9900034	enh	"K562_Random_Screen_Crop_11857,K562_Random_Screen_Crop_11858,K562_Random_Screen_Crop_11859,K562_Random_Screen_Crop_11860,K562_Random_Screen_Crop_11861,K562_Random_Screen_Crop_11862,K562_Random_Screen_Crop_11863,K562_Random_Screen_Crop_11864,K562_Random_Screen_Crop_11865,K562_Random_Screen_Crop_11866,K562_Random_Screen_Crop_11867,K562_Random_Screen_Crop_11868,K562_Random_Screen_Crop_11869,K562_Random_Screen_Crop_11870,K562_Random_Screen_Crop_11871"	TRUE	0.257819847	FALSE	0	0.03	0.02	0.19	0.61	0.89	0.97	1	644	chr19	9788958	9789457	PPAN|chr19:9788958-9789457	Ubiq. expr. gene	0.002572617	0.002987066	0.462727273	9.35E-04	0.006201574	0.13101982	High H3K27ac
chr8:144509691-144509992	chr8	144509691	144509992	chr8:145735074-145735375	chr8	145735074	145735375	EEF1D|chr8:144509691-144509992	EEF1D|chr8:145735074-145735375	EEF1D	ENSG00000104529	K562	1.031849463	0.045232511	3.184946341	0.01072386	0.014993718	1.072386029	1.010830697	1.05286823	0.015844824	0.074620199	1.083069725	5.286822958	0.006132691	0.145636769	FALSE	1053513	912166.5	chr8	143599540	143599541	distal	NA	NA	MFSD3	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.09	0.12	0.2	0.58	0.93	1	1	1	NA	NA	chr8:145735074-145735375	enh	"K562_Random_Screen_Crop_5323,K562_Random_Screen_Crop_5324,K562_Random_Screen_Crop_5325,K562_Random_Screen_Crop_5326,K562_Random_Screen_Crop_5327,K562_Random_Screen_Crop_5328,K562_Random_Screen_Crop_5329,K562_Random_Screen_Crop_5330,K562_Random_Screen_Crop_5331,K562_Random_Screen_Crop_5332,K562_Random_Screen_Crop_5333,K562_Random_Screen_Crop_5334,K562_Random_Screen_Crop_5335,K562_Random_Screen_Crop_5336,K562_Random_Screen_Crop_5337"	TRUE	0.257819847	FALSE	0.09	0.11	0.19	0.58	0.93	1	1	1	756	chr8	144509592	144510091	EEF1D|chr8:144509592-144510091	Ubiq. expr. gene	5.22E-04	0.002987066	0.148768449	5.28E-04	0.006201574	0.07848634	High H3K27ac
chr8:144787920-144788221	chr8	144787920	144788221	chr8:146013305-146013606	chr8	146013305	146013606	CYC1|chr8:144787920-144788221	CYC1|chr8:146013305-146013606	CYC1	ENSG00000179091	K562	1.047521618	0.066980018	4.752161849	0.01739972	0.023963697	1.739972044	1.013418166	1.081625071	0.020011173	0.113948864	1.341816642	8.162507056	0.006243374	0.147111953	FALSE	863513	693036.5	chr8	144095027	144095028	promoter	ZNF34	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.03	0.09	0.19	0.51	0.86	0.99	1	1	NA	NA	chr8:146013305-146013606	enh	"K562_Random_Screen_Crop_5428,K562_Random_Screen_Crop_5429,K562_Random_Screen_Crop_5430,K562_Random_Screen_Crop_5431,K562_Random_Screen_Crop_5432,K562_Random_Screen_Crop_5433,K562_Random_Screen_Crop_5434,K562_Random_Screen_Crop_5435,K562_Random_Screen_Crop_5436,K562_Random_Screen_Crop_5437,K562_Random_Screen_Crop_5438,K562_Random_Screen_Crop_5439,K562_Random_Screen_Crop_5440,K562_Random_Screen_Crop_5441,K562_Random_Screen_Crop_5442"	TRUE	0.259348605	FALSE	0.03	0.08	0.18	0.51	0.86	0.99	1	1	679	chr8	144787821	144788726	CYC1|chr8:144787821-144788726	Ubiq. expr. gene	6.80E-04	0.002987066	0.185416191	5.81E-04	0.006201574	0.085608064	NA
