intended_target_name_hg38	targeting_chr_hg38	targeting_start_hg38	targeting_end_hg38	intended_target_name_hg19	targeting_chr_hg19	targeting_start_hg19	targeting_end_hg19	element_gene_pair_identifier_hg38	element_gene_pair_identifier_hg19	gene_symbol	gene_id	cell_type	log_2_FC_effect_size	pct_change_effect_size	sceptre_p_value	sceptre_adj_p_value	significant	distance_to_gencode_gene_TSS	distance_to_abc_canonical_TSS	chrTSS_hg38	startTSS_hg38	endTSS_hg38	element_location	gencode_promoter_overlap	abc_tss_overlap	gencode_protein_coding_gene_body_overlap	DistalElement_Gene	DistalPromoter_Gene	selfPromoter	Positive_Control_DistalElement_Gene	Positive_Control_selfPromoter	Random_DistalElement_Gene	power_at_effect_size_2	power_at_effect_size_3	power_at_effect_size_5	power_at_effect_size_10	power_at_effect_size_15	power_at_effect_size_20	power_at_effect_size_25	power_at_effect_size_50	intended_positive_control_distal_element_target_gene	intended_positive_control_target_gene	design_file_target_name	design_file_type	guide_ids
chr1:2578267-2578568	chr1	2578267	2578568	chr1:2509706-2510007	chr1	2509706	2510007	PEX10|chr1:2578267-2578568	PEX10|chr1:2509706-2510007	PEX10	ENSG00000157911	WTC11	-0.06346943105663773	-4.303997272928283	0.1	0.6178571428571429	FALSE	164620	165846.5	chr1	2413796	2413797	distal	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.11	0.07	0.19	0.73	0.96	1	1	1	NA	NA	chr1:2509706-2510007	enh	WTC11_Random_Screen_Crop_657,WTC11_Random_Screen_Crop_658,WTC11_Random_Screen_Crop_659,WTC11_Random_Screen_Crop_660,WTC11_Random_Screen_Crop_661,WTC11_Random_Screen_Crop_662,WTC11_Random_Screen_Crop_663,WTC11_Random_Screen_Crop_664,WTC11_Random_Screen_Crop_665,WTC11_Random_Screen_Crop_666,WTC11_Random_Screen_Crop_667,WTC11_Random_Screen_Crop_668,WTC11_Random_Screen_Crop_669,WTC11_Random_Screen_Crop_670,WTC11_Random_Screen_Crop_671
chr1:2578267-2578568	chr1	2578267	2578568	chr1:2509706-2510007	chr1	2509706	2510007	RER1|chr1:2578267-2578568	RER1|chr1:2509706-2510007	RER1	ENSG00000157916	WTC11	0.008650600679154212	0.601415229966395	0.856	0.9866736474694592	FALSE	186642	186643.5	chr1	2391775	2391776	distal	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.04	0.07	0.18	0.58	0.86	0.99	1	1	NA	NA	chr1:2509706-2510007	enh	WTC11_Random_Screen_Crop_657,WTC11_Random_Screen_Crop_658,WTC11_Random_Screen_Crop_659,WTC11_Random_Screen_Crop_660,WTC11_Random_Screen_Crop_661,WTC11_Random_Screen_Crop_662,WTC11_Random_Screen_Crop_663,WTC11_Random_Screen_Crop_664,WTC11_Random_Screen_Crop_665,WTC11_Random_Screen_Crop_666,WTC11_Random_Screen_Crop_667,WTC11_Random_Screen_Crop_668,WTC11_Random_Screen_Crop_669,WTC11_Random_Screen_Crop_670,WTC11_Random_Screen_Crop_671
chr1:2587077-2587378	chr1	2587077	2587378	chr1:2518516-2518817	chr1	2518516	2518817	PEX10|chr1:2587077-2587378	PEX10|chr1:2518516-2518817	PEX10	ENSG00000157911	WTC11	0.03140646112147162	2.200798000767201	0.36	0.8485622086769452	FALSE	173430	174656.5	chr1	2413796	2413797	promoter	NA	FAM213B	PRXL2B	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.06	0.14	0.19	0.59	0.84	0.99	1	1	NA	NA	chr1:2518516-2518817	enh	WTC11_Random_Screen_Crop_672,WTC11_Random_Screen_Crop_673,WTC11_Random_Screen_Crop_674,WTC11_Random_Screen_Crop_675,WTC11_Random_Screen_Crop_676,WTC11_Random_Screen_Crop_677,WTC11_Random_Screen_Crop_678,WTC11_Random_Screen_Crop_679,WTC11_Random_Screen_Crop_680,WTC11_Random_Screen_Crop_681,WTC11_Random_Screen_Crop_682,WTC11_Random_Screen_Crop_683,WTC11_Random_Screen_Crop_684,WTC11_Random_Screen_Crop_685,WTC11_Random_Screen_Crop_686
chr1:2587077-2587378	chr1	2587077	2587378	chr1:2518516-2518817	chr1	2518516	2518817	RER1|chr1:2587077-2587378	RER1|chr1:2518516-2518817	RER1	ENSG00000157916	WTC11	-0.0033989383915213997	-0.235319145667656	0.98	0.9980666150271108	FALSE	195452	195453.5	chr1	2391775	2391776	promoter	NA	FAM213B	PRXL2B	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.03	0.11	0.17	0.51	0.83	0.97	1	1	NA	NA	chr1:2518516-2518817	enh	WTC11_Random_Screen_Crop_672,WTC11_Random_Screen_Crop_673,WTC11_Random_Screen_Crop_674,WTC11_Random_Screen_Crop_675,WTC11_Random_Screen_Crop_676,WTC11_Random_Screen_Crop_677,WTC11_Random_Screen_Crop_678,WTC11_Random_Screen_Crop_679,WTC11_Random_Screen_Crop_680,WTC11_Random_Screen_Crop_681,WTC11_Random_Screen_Crop_682,WTC11_Random_Screen_Crop_683,WTC11_Random_Screen_Crop_684,WTC11_Random_Screen_Crop_685,WTC11_Random_Screen_Crop_686
chr1:2591620-2591921	chr1	2591620	2591921	chr1:2523059-2523360	chr1	2523059	2523360	PEX10|chr1:2591620-2591921	PEX10|chr1:2523059-2523360	PEX10	ENSG00000157911	WTC11	-0.022258441811035236	-1.530996851725208	0.552	0.9156820590461772	FALSE	177973	179199.5	chr1	2413796	2413797	distal	NA	NA	MMEL1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.07	0.12	0.24	0.63	0.89	0.99	1	1	NA	NA	chr1:2523059-2523360	enh	WTC11_Random_Screen_Crop_687,WTC11_Random_Screen_Crop_688,WTC11_Random_Screen_Crop_689,WTC11_Random_Screen_Crop_690,WTC11_Random_Screen_Crop_691,WTC11_Random_Screen_Crop_692,WTC11_Random_Screen_Crop_693,WTC11_Random_Screen_Crop_694,WTC11_Random_Screen_Crop_695,WTC11_Random_Screen_Crop_696,WTC11_Random_Screen_Crop_697,WTC11_Random_Screen_Crop_698,WTC11_Random_Screen_Crop_699,WTC11_Random_Screen_Crop_700,WTC11_Random_Screen_Crop_701
chr1:2591620-2591921	chr1	2591620	2591921	chr1:2523059-2523360	chr1	2523059	2523360	RER1|chr1:2591620-2591921	RER1|chr1:2523059-2523360	RER1	ENSG00000157916	WTC11	-0.003731565067439944	-0.258318163502913	0.956	0.9948722135007848	FALSE	199995	199996.5	chr1	2391775	2391776	distal	NA	NA	MMEL1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.06	0.1	0.18	0.48	0.86	0.99	1	1	NA	NA	chr1:2523059-2523360	enh	WTC11_Random_Screen_Crop_687,WTC11_Random_Screen_Crop_688,WTC11_Random_Screen_Crop_689,WTC11_Random_Screen_Crop_690,WTC11_Random_Screen_Crop_691,WTC11_Random_Screen_Crop_692,WTC11_Random_Screen_Crop_693,WTC11_Random_Screen_Crop_694,WTC11_Random_Screen_Crop_695,WTC11_Random_Screen_Crop_696,WTC11_Random_Screen_Crop_697,WTC11_Random_Screen_Crop_698,WTC11_Random_Screen_Crop_699,WTC11_Random_Screen_Crop_700,WTC11_Random_Screen_Crop_701
chr1:2593855-2594156	chr1	2593855	2594156	chr1:2525294-2525595	chr1	2525294	2525595	PEX10|chr1:2593855-2594156	PEX10|chr1:2525294-2525595	PEX10	ENSG00000157911	WTC11	0.01931282792673681	1.3476634347252099	0.58	0.9256907016266084	FALSE	180208	181434.5	chr1	2413796	2413797	distal	NA	NA	MMEL1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.05	0.14	0.24	0.75	0.89	0.99	1	1	NA	NA	chr1:2525294-2525595	enh	WTC11_Random_Screen_Crop_702,WTC11_Random_Screen_Crop_703,WTC11_Random_Screen_Crop_704,WTC11_Random_Screen_Crop_705,WTC11_Random_Screen_Crop_706,WTC11_Random_Screen_Crop_707,WTC11_Random_Screen_Crop_708,WTC11_Random_Screen_Crop_709,WTC11_Random_Screen_Crop_710,WTC11_Random_Screen_Crop_711,WTC11_Random_Screen_Crop_712,WTC11_Random_Screen_Crop_713,WTC11_Random_Screen_Crop_714,WTC11_Random_Screen_Crop_715,WTC11_Random_Screen_Crop_716
chr1:2593855-2594156	chr1	2593855	2594156	chr1:2525294-2525595	chr1	2525294	2525595	RER1|chr1:2593855-2594156	RER1|chr1:2525294-2525595	RER1	ENSG00000157916	WTC11	0.02113361857826307	1.47565262797551	0.532	0.9107729166666668	FALSE	202230	202231.5	chr1	2391775	2391776	distal	NA	NA	MMEL1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.04	0.1	0.12	0.61	0.87	0.99	1	1	NA	NA	chr1:2525294-2525595	enh	WTC11_Random_Screen_Crop_702,WTC11_Random_Screen_Crop_703,WTC11_Random_Screen_Crop_704,WTC11_Random_Screen_Crop_705,WTC11_Random_Screen_Crop_706,WTC11_Random_Screen_Crop_707,WTC11_Random_Screen_Crop_708,WTC11_Random_Screen_Crop_709,WTC11_Random_Screen_Crop_710,WTC11_Random_Screen_Crop_711,WTC11_Random_Screen_Crop_712,WTC11_Random_Screen_Crop_713,WTC11_Random_Screen_Crop_714,WTC11_Random_Screen_Crop_715,WTC11_Random_Screen_Crop_716
chr1:2594570-2594871	chr1	2594570	2594871	chr1:2526009-2526310	chr1	2526009	2526310	PEX10|chr1:2594570-2594871	PEX10|chr1:2526009-2526310	PEX10	ENSG00000157911	WTC11	0.016417616068853717	1.1444820805732498	0.636	0.9408334833483348	FALSE	180923	182149.5	chr1	2413796	2413797	distal	NA	NA	MMEL1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.09	0.16	0.24	0.47	0.88	0.99	1	1	NA	NA	chr1:2526009-2526310	enh	WTC11_Random_Screen_Crop_717,WTC11_Random_Screen_Crop_718,WTC11_Random_Screen_Crop_719,WTC11_Random_Screen_Crop_720,WTC11_Random_Screen_Crop_721,WTC11_Random_Screen_Crop_722,WTC11_Random_Screen_Crop_723,WTC11_Random_Screen_Crop_724,WTC11_Random_Screen_Crop_725,WTC11_Random_Screen_Crop_726,WTC11_Random_Screen_Crop_727,WTC11_Random_Screen_Crop_728,WTC11_Random_Screen_Crop_729,WTC11_Random_Screen_Crop_730,WTC11_Random_Screen_Crop_731
chr1:2594570-2594871	chr1	2594570	2594871	chr1:2526009-2526310	chr1	2526009	2526310	RER1|chr1:2594570-2594871	RER1|chr1:2526009-2526310	RER1	ENSG00000157916	WTC11	0.07090763592017577	5.0377294706346545	0.084	0.5794501573976916	FALSE	202945	202946.5	chr1	2391775	2391776	distal	NA	NA	MMEL1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.06	0.02	0.14	0.43	0.93	0.98	1	1	NA	NA	chr1:2526009-2526310	enh	WTC11_Random_Screen_Crop_717,WTC11_Random_Screen_Crop_718,WTC11_Random_Screen_Crop_719,WTC11_Random_Screen_Crop_720,WTC11_Random_Screen_Crop_721,WTC11_Random_Screen_Crop_722,WTC11_Random_Screen_Crop_723,WTC11_Random_Screen_Crop_724,WTC11_Random_Screen_Crop_725,WTC11_Random_Screen_Crop_726,WTC11_Random_Screen_Crop_727,WTC11_Random_Screen_Crop_728,WTC11_Random_Screen_Crop_729,WTC11_Random_Screen_Crop_730,WTC11_Random_Screen_Crop_731
chr1:2595765-2596066	chr1	2595765	2596066	chr1:2527204-2527505	chr1	2527204	2527505	PEX10|chr1:2595765-2596066	PEX10|chr1:2527204-2527505	PEX10	ENSG00000157911	WTC11	0.00938603783285424	0.6527115035152681	0.7	0.9557217030114226	FALSE	182118	183344.5	chr1	2413796	2413797	distal	NA	NA	MMEL1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.07	0.08	0.17	0.57	0.86	0.99	1	1	NA	NA	chr1:2527204-2527505	enh	WTC11_Random_Screen_Crop_732,WTC11_Random_Screen_Crop_733,WTC11_Random_Screen_Crop_734,WTC11_Random_Screen_Crop_735,WTC11_Random_Screen_Crop_736,WTC11_Random_Screen_Crop_737,WTC11_Random_Screen_Crop_738,WTC11_Random_Screen_Crop_739,WTC11_Random_Screen_Crop_740,WTC11_Random_Screen_Crop_741,WTC11_Random_Screen_Crop_742,WTC11_Random_Screen_Crop_743,WTC11_Random_Screen_Crop_744,WTC11_Random_Screen_Crop_745,WTC11_Random_Screen_Crop_746
chr1:2595765-2596066	chr1	2595765	2596066	chr1:2527204-2527505	chr1	2527204	2527505	RER1|chr1:2595765-2596066	RER1|chr1:2527204-2527505	RER1	ENSG00000157916	WTC11	-0.001977336951383665	-0.13696467094787	0.96	0.9948722135007848	FALSE	204140	204141.5	chr1	2391775	2391776	distal	NA	NA	MMEL1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.06	0.06	0.12	0.48	0.88	0.98	1	1	NA	NA	chr1:2527204-2527505	enh	WTC11_Random_Screen_Crop_732,WTC11_Random_Screen_Crop_733,WTC11_Random_Screen_Crop_734,WTC11_Random_Screen_Crop_735,WTC11_Random_Screen_Crop_736,WTC11_Random_Screen_Crop_737,WTC11_Random_Screen_Crop_738,WTC11_Random_Screen_Crop_739,WTC11_Random_Screen_Crop_740,WTC11_Random_Screen_Crop_741,WTC11_Random_Screen_Crop_742,WTC11_Random_Screen_Crop_743,WTC11_Random_Screen_Crop_744,WTC11_Random_Screen_Crop_745,WTC11_Random_Screen_Crop_746
chr1:2796890-2797191	chr1	2796890	2797191	chr1:2713455-2713756	chr1	2713455	2713756	PEX10|chr1:2796890-2797191	PEX10|chr1:2713455-2713756	PEX10	ENSG00000157911	WTC11	-0.027264949436252163	-1.872116352791519	0.448	0.8823103654883163	FALSE	368369	384469.5	chr1	2413796	2413797	distal	NA	NA	TTC34	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.1	0.07	0.25	0.6	0.95	0.98	1	1	NA	NA	chr1:2713455-2713756	enh	WTC11_Random_Screen_Crop_972,WTC11_Random_Screen_Crop_973,WTC11_Random_Screen_Crop_974,WTC11_Random_Screen_Crop_975,WTC11_Random_Screen_Crop_976,WTC11_Random_Screen_Crop_977,WTC11_Random_Screen_Crop_978,WTC11_Random_Screen_Crop_979,WTC11_Random_Screen_Crop_980,WTC11_Random_Screen_Crop_981,WTC11_Random_Screen_Crop_982,WTC11_Random_Screen_Crop_983,WTC11_Random_Screen_Crop_984,WTC11_Random_Screen_Crop_985,WTC11_Random_Screen_Crop_986
chr1:2796890-2797191	chr1	2796890	2797191	chr1:2713455-2713756	chr1	2713455	2713756	RER1|chr1:2796890-2797191	RER1|chr1:2713455-2713756	RER1	ENSG00000157916	WTC11	0.06303703568027817	4.466258023839709	0.124	0.6547598393574298	FALSE	390391	405266.5	chr1	2391775	2391776	distal	NA	NA	TTC34	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.06	0.07	0.22	0.55	0.83	0.99	1	1	NA	NA	chr1:2713455-2713756	enh	WTC11_Random_Screen_Crop_972,WTC11_Random_Screen_Crop_973,WTC11_Random_Screen_Crop_974,WTC11_Random_Screen_Crop_975,WTC11_Random_Screen_Crop_976,WTC11_Random_Screen_Crop_977,WTC11_Random_Screen_Crop_978,WTC11_Random_Screen_Crop_979,WTC11_Random_Screen_Crop_980,WTC11_Random_Screen_Crop_981,WTC11_Random_Screen_Crop_982,WTC11_Random_Screen_Crop_983,WTC11_Random_Screen_Crop_984,WTC11_Random_Screen_Crop_985,WTC11_Random_Screen_Crop_986
