seqnames	chr	start	end	genes_above_tpms	additional_3genes	locus_gene_name	genes_above_tpms_list_good	n_genes_g_40tpm	n_genes_g_30tpm	genes_g_40tpm	genes_g_30tpm
ENSG00000101115	chr20	49802521	51802520	3	ADNP;DPM1	SALL4	ADNP, DPM1, SALL4	5	7	CEBPB;PARD6B;ADNP;DPM1;SALL4	RNF114;UBE2V1;CEBPB;PARD6B;ADNP;DPM1;SALL4
ENSG00000126005	chr20	33278132	35278131	2	EIF2S2	MMP24OS	EIF2S2, MMP24OS	0	0		
ENSG00000160888	chr19	13150415	15150414	4	C19orf53;SAMD1;NDUFB7	IER2	IER2, C19orf53, SAMD1, NDUFB7	4	7	IER2;C19orf53;SAMD1;NDUFB7	IER2;MRI1;C19orf53;SAMD1;ASF1B;TECR;NDUFB7
ENSG00000132640	chr20	11890723	13890722	2	ESF1	BTBD3	BTBD3, ESF1	2	2	BTBD3;ESF1	BTBD3;ESF1
ENSG00000035141	chr2	68302091	70302090	4	PCBP1;TIA1;SNRPG	FAM136A	PCBP1, TIA1, SNRPG, FAM136A	4	6	PCBP1;TIA1;SNRPG;FAM136A	GMCL1;SNRNP27;PCBP1;TIA1;SNRPG;FAM136A
ENSG00000179029	chr17	6176400	8176399	16	TMEM256;RNASEK;SAT2	TMEM107	PIMREG, TXNDC17, RNASEK, RNASEK-C17orf49, GABARAP, CLDN7, EIF5A, GPS2, TMEM256, SENP3-EIF4A1, EIF4A1, MPDU1, SAT2, TRAPPC1, VAMP2, TMEM107	20	24	PIMREG;TXNDC17;MED31;RNASEK;RNASEK-C17orf49;GABARAP;ELP5;CLDN7;EIF5A;GPS2;TMEM256;SENP3-EIF4A1;EIF4A1;MPDU1;SAT2;TP53;TMEM88;TRAPPC1;VAMP2;TMEM107	PIMREG;TXNDC17;MED31;RNASEK;RNASEK-C17orf49;GABARAP;ELP5;CLDN7;EIF5A;GPS2;PLSCR3;TMEM256;NLGN2;POLR2A;SENP3;SENP3-EIF4A1;EIF4A1;MPDU1;SAT2;TP53;TMEM88;TRAPPC1;VAMP2;TMEM107
ENSG00000005448	chr2	74421678	76421677	4	MOGS;MRPL53;AUP1	WDR54	WDR54, MOGS, MRPL53, AUP1	6	9	WDR54;WBP1;MOGS;MRPL53;AUP1;MRPL19	WDR54;RTKN;WBP1;MOGS;MRPL53;AUP1;HTRA2;MRPL19;GCFC2
ENSG00000105401	chr19	8420122	10420121	8	HNRNPM;PPAN;ZNF414	CDC37	HNRNPM, ZNF414, ZNF121, UBL5, PPAN, PPAN-P2RY11, EIF3G, CDC37	9	12	HNRNPM;ZNF414;ZNF121;UBL5;PPAN;PPAN-P2RY11;EIF3G;FDX2;CDC37	HNRNPM;ZNF414;ZNF121;FBXL12;UBL5;PPAN;PPAN-P2RY11;P2RY11;EIF3G;MRPL4;FDX2;CDC37
ENSG00000162702	chr1	198410057	200410056	1	x	ZNF281	ZNF281	1	1	ZNF281	ZNF281
ENSG00000211450	chr11	57741250	59741249	4	TMX2-CTNND1;CTNND1;ZFP91	SELENOH	TMX2-CTNND1, SELENOH, CTNND1, ZFP91	6	6	TMX2-CTNND1;SELENOH;CTNND1;ZFP91;ZFP91-CNTF;FAM111A	TMX2-CTNND1;SELENOH;CTNND1;ZFP91;ZFP91-CNTF;FAM111A
ENSG00000111669	chr12	6867119	8867118	7	PHB2;SPSB2;NANOG	TPI1	TPI1, SPSB2, ENO2, C12orf57, PHB2, NANOG, SLC2A3	7	10	TPI1;SPSB2;ENO2;C12orf57;PHB2;NANOG;SLC2A3	TPI1;SPSB2;ENO2;C12orf57;PHB2;EMG1;LPCAT3;NANOG;SLC2A3;RIMKLB
ENSG00000136758	chr10	25155267	27155266	1	x	YME1L1	YME1L1	1	1	YME1L1	YME1L1
ENSG00000261052	chr16	30199228	32199227	4	VKORC1;FUS;PYCARD	SULT1A3	SULT1A3, VKORC1, FUS, PYCARD	5	9	SULT1A3;SEPHS2;VKORC1;FUS;PYCARD	SULT1A3;SEPHS2;ZNF785;PHKG2;VKORC1;KAT8;PRSS8;FUS;PYCARD
ENSG00000157916	chr1	2391775	4391774	2	PEX10	RER1	RER1, PEX10	2	2	RER1;PEX10	RER1;PEX10
ENSG00000204713	chr6	26923990	28923989	1	x	TRIM27	TRIM27	3	4	ZKSCAN8;ZSCAN9;TRIM27	ZKSCAN8;ZSCAN9;ZSCAN23;TRIM27
